d,betaprime,total cost,preprocessing,single enum,probability
244,194,842558222710880867636214641397761835008,1330701415602613130175042289664,4394574356466928642687496093696,4.847290917219316e-09
245,198,1653581009056342207099570256762959298560,8024984634920279196696282398720,24401285599651166766501046779904,1.3988595628302075e-08
246,198,2268386227033558529722047850846055563264,8185772864374466265269974073344,25890544796049592271488126287872,1.0716136856413306e-08
247,200,4583834335384322034262910657366803349504,19981639967655795603307300388864,62104872367660556503809389494272,1.2774546310414328e-08
248,200,6362210946933119453936323153189736022016,20381870599625341843546644152320,63627961977162944709522106613760,9.419430582681177e-09
249,200,12743776623409281315306449040354882617344,20782101231594876824786919489536,66521259512292504518148615045120,4.8869220079866366e-09
250,200,17437264747750170939009559577760630833152,21182331863564411806027194826752,68795847883109471292936236826624,3.6809628828888837e-09
251,202,35406950332897416342140151466606630797312,53377619774975205238968699322368,169989643682808493482846009163776,4.500218473674373e-09
252,202,49804297469119323570471881345715014729728,54406192178014922090436615995392,176365095503110631800221032513536,3.305350748550886e-09
253,204,98862229674020632135866822428054358327296,138159646796480139635945426124800,442242379138341274598857995452416,4.1879464040278595e-09
254,206,135422508819120190914858051345402646495232,345440519027011999890689952317440,1068759684513109911045703710277632,7.449423007083129e-09
255,206,273137141537502808025790574315473513480192,352229470081862041304931586015232,1110082796495886180936238126596096,3.81910817233151e-09
256,208,379188300521314065596422264638640815603712,902371544588727505085664866598912,2727095786208757271178578485051392,6.827953555214494e-09
257,208,783619594444525038868619021554665908076544,920119249944963844424126768873472,2937205506468503761693658859962368,3.5114259484718046e-09
258,208,1065563647826492129405734279257572524425216,937866955301200183762588671148032,3113492996910102892460348717137920,2.712214488207254e-09
259,208,2151368417289940019041889667741022148362240,955614660657436523101050573422592,3181616941403208946564914202279936,1.3718216153542219e-09
260,208,2987816578380836721927179121053952789970944,973362366013672862439512475697152,3268653077723517567840774418071552,1.0127935099924705e-09
261,210,5983397309988168264545109905339847844823040,2517871290908232195465463602348032,8242457994360211534992148040515584,1.28286311046633e-09
262,214,8448801228631821594337661619539168521617408,16155075317090339034875392096731136,48418105092501110845728761405505536,5.4520481229220675e-09
263,214,17498912786804535274499307607438226058379264,16472816921808919179944946479136768,50770882992007916018919933439115264,2.7412152007759615e-09
264,214,23990578380722167945697613246291196839460864,16790558526527494713328482434154496,53599583206826691998302171769602048,2.09302163806804e-09
265,214,48054263289810027425035767049019367090028544,17108300131246074858398036816560128,56380282740025586979845782145859584,1.0909140778361965e-09
266,216,66256915674237156163575109971516682705829888,43301819937069490043375823246852096,136301394045015332094121679662350336,1.9336839200696147e-09
267,216,133810429072033344380112054807257195009277952,44121093148999782342167044917559296,145507294265470779239212524555468800,1.0109181307482624e-09
268,216,191769224359021450368371130788431883294212096,44940366360930074640958266588266496,148156708513600949591804550655770624,7.182892725469922e-10
269,216,382463454796003214725830903245719043770941440,45759639572860366939749488258973696,157135826638761612281159328781565952,3.784295106645386e-10
270,216,541813085447210556453691716894622290165104640,46578912784790659238540709929680896,159928113629270253583795206892814336,2.718866857871518e-10
271,220,1093830953605019184121593658983471603534266368,311948317264414139899881418035036160,1026216612002079852521162839286611968,8.726940837532547e-10
272,220,1505029487339948372527232453039588416455442432,317745530377638771337571705122979840,1064556573321955181805714664744550400,6.551798876091633e-10
273,220,3109500249946155888953805940622883123061850112,323542743490863402775261992210923520,1098068221446898309335662621670506496,3.261315133503916e-10
