d,betaprime,total cost,preprocessing,single enum,probability
113,82,771873956826898,13062393754737,3333984015552,0.015038960076508165
114,84,962746104549105,22365659462266,5725860399259,0.020599377279252956
115,84,1541059535960108,22610250469112,5901439111384,0.013111228612273117
116,84,1920494542545988,23099432492110,6009125731445,0.010753863304156263
117,84,3123362385644122,23344023508298,6158266560116,0.0067154267608334536
118,84,4055260602291868,23833205550142,6623583187400,0.005343244869028575
119,88,6244866081681194,77660919618132,19496637514815,0.011036930817982234
120,90,7783223739810414,148738925430732,37324519025593,0.016908549789222117
121,90,12004845010569836,150322043663685,39497004585944,0.011216021779766595
122,90,15717018028429792,153488280139382,39647621992210,0.00872757043813341
123,90,24402679454866316,155071398382162,41200464608489,0.00572107760672918
124,90,33266683241726656,158237634877677,42733975918330,0.004300236546568297
125,90,53055587198381472,159820753130447,43331170309927,0.0027277176868431407
126,92,65064072023827192,296525846564572,82100048417958,0.004142576760722626
127,92,109013842157335360,299463378354189,80813307094930,0.002485309117152177
128,96,139932368236076768,1220732697527281,315471889941912,0.0078007082764605115
129,96,227809758304464768,1232988007824107,327782789598553,0.0048753811315723735
130,96,296761544868828480,1257498628428198,335701691383627,0.003822381358995225
131,100,437792192923033920,4788539270334469,1210558305670689,0.009727463436484621
132,102,474660145445924672,7265300611842420,1808792199349102,0.013544567628441565
133,104,746770773594121344,13151902307425442,3244910850679528,0.015540965503749402
134,104,911914892397296768,13417092247618832,3369191514378412,0.013045315173013782
135,104,1403563116877453312,13549687217720958,3434422465612489,0.008594890748545591
136,104,1733690036930740736,13814877157936108,3581020682938653,0.007132218320425304
137,106,2708703677884021248,25550501066858400,6532544175640450,0.008413626917668539
138,106,3272384484447799808,26046411598821048,6663205097604446,0.007105036303727186
139,106,5199439715018148864,26294366864807952,6813381390820764,0.00453199811078901
140,106,6446847843836909568,26790277396793008,6936517567044906,0.0037249472693864096
141,108,10355178372101718016,45547391990657176,11830899131020266,0.003944887204716465
142,108,12867213525046646784,46397163764005752,12184725477789090,0.003242473351840977
143,110,20959868361113128960,83270866248260176,21696758596802180,0.0035661030952187753
144,110,26486985031497256960,84811020436410304,22346482396168948,0.002881815179905556
145,110,43602168793481453568,85581097530491200,22718015329720980,0.001770250459270139
146,112,54853111273201557504,165428074761286976,44425464168456328,0.002725367983363975
147,114,89318390516316733440,317227636854544000,80892405757668880,0.003174574233315219
148,114,110526843595034378240,323004113482717760,84140210832899440,0.0026242954774782076
149,114,181371386149918998528,325892351796810688,87260753895138192,0.0016236485810096134
150,114,237196767850699620352,331668828425008448,91595054519923280,0.001272121691391445
151,116,401380967177573629952,655222236886308736,170817481298769632,0.0014669928722429776
152,116,504152425725510549504,666745204142512128,181061327366783136,0.0011988836289068094
153,120,849863324065643757568,2630193339193821184,692461599836035584,0.0027850518318076733
154,120,1037118724952540446720,2676892681633635840,699258649299927168,0.002319486607645135
155,120,1677008228949739962368,2700242352853549568,699334381936411008,0.0014450347055735449
156,120,2102387986312273592320,2746941695293388800,729574317786759040,0.001178902378747876
157,120,3583474927158263021568,2770291366513315328,742735073547730944,0.0006990814812186302
158,122,4518163044066160279552,5590615985205010432,1502850147008161792,0.0011193245423109443
159,122,7717763056969991585792,5637767039290807296,1541424843330992896,0.000663349846340067
160,122,10072953709460415578112,5732069147462414336,1559226467186969344,0.0005162241820463359
161,124,17061637029437523361792,12017858671334588416,3243965431263624704,0.0006378958672975701
162,126,21488452317582335148032,23533101111519592448,6105401578911961088,0.00098342237448839
163,126,36118735763091872546816,23728293327591608320,6425087180234362880,0.0005953560247085671
164,128,45795173686398414749696,50978508817909317632,13354138945887571968,0.0010016055591426853
165,128,77120871136402266390528,51398305922618097664,13628138840765609984,0.0006012984410368232
166,128,98521539250362423181312,52237900132035657728,13853967308895031296,0.0004784268250617164
167,132,160735488211358050156544,173783212874823958528,46329821846942818304,0.0009763925968673174
168,132,193270158952710474301440,176631173747500580864,45394823556540809216,0.000819150472299499
169,132,322461384935285331066880,178055154183838924800,46678314226965372928,0.0004970323832734155
170,132,403061676685217725677568,180903115056515645440,48873146753260691456,0.00040658181174360125
171,132,683189822339403900518400,182327095492853956608,49379223887512289280,0.00024190595161685424
172,134,860339146491939981885440,349961918356740571136,94288198392143740928,0.00036828198895513467
173,136,1420529625383845559795712,659872961473814462464,179749627393345617920,0.0004215458929691601
174,136,1804598592575670872702976,670275101695399952384,185310885778960220160,0.000338152192043069
175,136,3044852911847823361703936,675476171806192828416,184407866746286800896,0.00020143383558984652
176,138,3766315745741586175098880,1275045937454640529408,337803197798860980224,0.0003054311203108981
177,138,6438172731529013709766656,1284863090907984691200,354867796665851314176,0.00018166576806226994
178,138,8011978929766359449468928,1304497397814672752640,356031646601687924736,0.00014783496783918668
179,140,13884667230188116994162688,2548613037043303841792,682191795770397556736,0.00016597466552961974
180,140,17287708207948455691157504,2587294124106326736896,733431885049281904640,0.00013701510985150616
181,142,29859702115620930782756864,5122302274894428110848,1388396850683868348416,0.00015552885605742795
182,142,37873627825311065384681472,5199505556044708315136,1435392714727696629760,0.0001249605195965963
183,142,65273589055869980768206848,5238107196619847892992,1456952964869974392832,7.316505446137911e-05
184,144,82608806969018120363048960,10773877273352103526400,2911354305883559952384,0.00011816877590247168
185,144,143348271495447800283398144,10853338228446594072576,3028430975656962555904,6.90780319387273e-05
186,146,182380875817820373452324864,22466788439086614970368,6054199556986232635392,0.00011154847636964094
