d,betaprime,total cost,preprocessing,single enum,probability
3,2,217,216,1,1.0
4,2,514,512,2,0.5115806393178025
5,2,1003,1000,3,0.9849122498461097
6,2,1732,1728,4,0.5314140349004755
7,2,2751,2744,7,0.9700440157282773
8,2,4103,4096,7,0.5390961855413969
9,2,5845,5832,13,0.9553922311963401
10,2,8013,8000,13,0.5153929179824799
11,2,10671,10648,23,0.9409538707767322
12,2,13848,13824,24,0.5224136401429199
13,2,17621,17576,45,0.9267259494496697
14,2,22000,21952,48,0.5501338217774857
15,2,27087,27000,87,0.9127055221327641
16,2,32865,32768,97,0.5571972599600193
17,2,39479,39304,175,0.8988896831710534
18,2,46848,46656,192,0.5116063941532359
19,2,55240,54872,368,0.8852755658336039
20,2,64253,64000,253,0.5118065881273135
21,2,74890,74088,802,0.8718603418164662
22,2,86185,85184,1001,0.5920087140612212
23,2,98737,97336,1401,0.8585162777773118
24,2,112877,110592,2285,0.56092322330564
25,2,127062,125000,2062,0.8407638753762778
26,2,142644,140608,2036,0.5326309488968308
27,2,160040,157464,2576,0.7890125935117633
28,2,184546,175616,8930,0.5576542591270589
29,2,198297,195112,3185,0.6715459764220334
30,2,218256,216000,2256,0.5170417115880106
31,2,244580,238328,5801,0.5093542477780846
32,2,269698,262144,7554,0.5183592414877384
33,2,292632,287496,5136,0.5276609376046899
34,2,324329,314432,9897,0.5238204870567822
35,2,352351,343000,9351,0.510014849457523
36,2,388754,373248,15506,0.5544524944867684
37,2,427283,405224,22059,0.5159359187043588
38,2,465216,438976,26240,0.5166739101900806
39,2,535991,474552,61439,0.5625431725516798
40,2,585070,512000,73070,0.5211449943836554
41,2,659186,551368,105264,0.5086435293862234
42,2,732291,592704,139587,0.541453609052103
43,2,873992,636056,237936,0.5184792797465492
44,2,969244,681472,274030,0.5050189534149109
45,3,1293656,766807,526850,0.5103743586985917
46,3,1599946,817364,782582,0.516127699833142
47,3,2267857,870129,1170480,0.47369240993686657
48,3,2680357,925150,1221308,0.43518559657123285
49,3,4307176,982475,1400692,0.32611613810416706
50,3,5094181,1042152,1470387,0.29660498342550357
51,3,8409701,1104229,1711098,0.21243482071072853
52,3,10006557,1168754,1785192,0.1898871092654036
53,3,17030089,1235775,2084783,0.12985055636926512
54,3,20386918,1305341,2212461,0.11581580309542439
55,6,35783437,1697711,3079617,0.09084254694425473
56,6,43250219,1778566,3219930,0.07913606118999911
57,7,77423186,2082172,4187651,0.05613104003412205
58,7,94366811,2172527,4331255,0.04797523489167255
59,10,172384746,3421718,7037323,0.04235758640691906
60,10,212545099,3538737,7285500,0.03567664464531451
61,14,391004911,6744048,13890968,0.03694672973944056
62,16,471653650,9301469,17905445,0.04031381843797088
63,20,847307856,16329787,31493842,0.039463015774291024
64,22,977153616,21398317,39237360,0.043300334804719176
65,22,1801678094,21842906,45200412,0.026195669672902808
66,22,2274530049,22290615,47576109,0.021673640510579073
67,25,4353348203,31812765,71584215,0.016800149358088507
68,29,5173464835,48029273,96181274,0.019688261929185144
69,33,8266779864,69209507,143235980,0.018165152001543002
70,37,9078319451,98878317,185158024,0.022071588530834834
71,41,15480797989,148623909,293436028,0.02016390473873815
72,45,14463652501,279473303,462040321,0.03591092046360082
73,48,24719127024,561901763,895808384,0.041194378289361955
74,48,32128240622,572752847,927513049,0.03276201769301809
75,48,61360546169,583607482,1074624752,0.019093226544387443
76,48,81078694565,594465717,1147465872,0.01520908933946368
77,50,159051003438,1115484217,2162997908,0.014596541210578868
78,54,213733007305,4326636574,6537889252,0.035611605871287325
79,56,411443743757,9148965251,13472603434,0.038461483385737655
80,56,553805568860,9322117816,14212644542,0.02985994095472377
81,60,1056364045242,44798867606,55893831339,0.065736316380173
82,64,1108554080340,202244790143,179661757259,0.21788638156218113
83,64,1908410685568,206153567959,210535587787,0.14423146620120567
84,64,2532780078793,210062349760,215511165400,0.1129567162634413
85,64,4612169867476,213971135592,252564879523,0.06961580595800389
86,64,6291234606176,217879925504,266330198711,0.05342357781695452
87,68,9921580645176,1130795511397,1096765859598,0.14799170999088934
88,72,5145417977886,3137039969974,2008378007912,0.5100937170398167
89,72,7856435933807,3194894767955,2294738422041,0.3925276173301907
90,72,9955117102190,3252749570208,2417335652393,0.3338890652841777
91,73,15567955835316,5566808771694,4047395678498,0.3563106198059296
92,73,19837786736180,5665685480724,4276432532495,0.3005843528567766
93,73,32168908002093,5764562194170,4865859742331,0.2100068819561313
94,73,42048930694929,5863438912080,5154062143282,0.17048096930157555
95,73,72104311512995,5962315634502,5877597783149,0.11053566223778814
96,74,96362555430972,7824561397883,7645271167052,0.10820555964422802
97,74,172683834022373,7953074583866,8747048270944,0.0666616790272842
98,74,237295318228854,8081587774505,9281884122209,0.0508586405229837
99,74,452823749137179,8210100969849,10638114808539,0.029255801565229514
100,74,640139977936880,8338614169944,11198084073341,0.0215357437459898
101,78,855565420815266,54278530090223,54147080536285,0.08643675201478895
102,82,704246405895762,278020275005260,184971276086949,0.3743576757648735
103,82,1089119677646373,282454491578772,205114143068071,0.2733765854915006
