d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,127,125,2,0.5115806393178025
5,2,219,216,3,0.9849122498461097
6,2,347,343,4,0.5314140349004942
7,2,519,512,7,0.9700440157282773
8,2,1007,1000,7,0.5390961855413969
9,2,1344,1331,13,0.9553922311963401
10,2,1741,1728,13,0.5153929179824572
11,2,2220,2197,23,0.9409538707767322
12,2,3399,3375,24,0.5224136401429256
13,2,4141,4096,45,0.9267259494496697
14,2,4961,4913,48,0.5501338217774857
15,2,5919,5832,87,0.9127055221327641
16,2,8097,8000,97,0.5571972599592702
17,2,9418,9261,157,0.898563945412092
18,2,10840,10648,192,0.5116063941532359
19,2,12387,12167,220,0.8676583582841998
20,2,15888,15625,263,0.5369047109624507
21,2,17886,17576,310,0.7875330715640899
22,2,20684,19683,1001,0.5920087140656126
23,2,22322,21952,370,0.5103008264251034
24,2,29285,27000,2285,0.5609232233274936
25,2,30310,29791,519,0.5201666778988355
26,2,33319,32768,551,0.5229198695593411
27,2,36675,35937,738,0.518447261019227
28,2,43623,42875,748,0.5115616248495962
29,2,49545,46656,2889,0.510772088998416
30,2,51968,50653,1315,0.5103497130603025
31,2,57500,54872,2550,0.5095276957455211
32,2,67146,64000,3146,0.5509069495192616
33,2,74577,68921,5656,0.5199647333054804
34,2,80681,74088,6124,0.5079647127900501
35,2,89201,79507,9694,0.5238434427827762
36,2,105430,91125,14305,0.5254181195867247
37,2,119268,97336,21932,0.5560753857888305
38,2,126274,103823,22451,0.5180038168232229
39,2,151279,110592,40687,0.5240779549985533
40,2,171244,125000,45029,0.5075144983859464
41,2,229965,132651,97314,0.5207602302588022
42,2,251758,140608,111150,0.510230231659325
43,2,370005,148877,220071,0.5090002971774386
44,2,438810,166375,238742,0.48241231805345314
45,2,698310,175616,282226,0.3735604822638745
46,2,809082,185193,288607,0.34146605261854307
47,2,1313945,195112,327037,0.24684055130099075
48,2,1555478,216000,344488,0.226664648369436
49,2,2595491,226981,404213,0.15926489070765004
50,2,3033171,238328,414512,0.14233072568680202
51,2,5216056,250047,496997,0.09712033718914986
52,2,6236601,274625,528656,0.08778566910678696
53,2,11059618,287496,632995,0.05764391122495339
54,2,13152450,300763,652901,0.05040899764669239
55,2,24091396,314432,789655,0.0321635730759994
56,2,29348897,343000,823154,0.027946433663134915
57,2,55536046,357911,981119,0.017052512868649936
58,2,67703747,373248,1031750,0.014694506964775774
59,2,132621862,389017,1177687,0.008391617638302876
60,2,165351196,421875,1309558,0.00744183461642914
61,2,335398925,438976,1578801,0.004282353638557539
62,2,422216106,456533,1619088,0.0035006972282030572
63,2,875308016,474552,1778790,0.001834721352442329
64,2,1128965753,512000,2001947,0.0015872051171737529
65,2,2441133604,531441,2351862,0.0008422061682757087
66,2,3161470642,551368,2515751,0.0006918211564255659
67,7,5974259040,1837237,7253652,0.0010848987460823135
68,12,5004913993,2619570,8870487,0.0016363364797867168
69,17,5040218030,3988120,13542261,0.0024780266058094247
70,20,3489859278,5416683,15905310,0.004348870028709882
71,20,7202453888,5533254,17700871,0.002298522918810739
72,25,4092089538,8706558,22069466,0.005350637217212744
73,30,3302253458,13025360,30196964,0.00929339531695391
74,35,1725705733,19951386,35703130,0.02274312858088185
75,40,1548964636,34023162,54600056,0.03999227595084826
76,42,1231354132,48429105,67029889,0.06469993334673667
77,42,2084323292,49266460,76348678,0.042080173516909986
78,42,2496708525,50105544,78354413,0.03603768852463536
79,42,4376849226,50946373,87506639,0.022312725178135314
80,42,5722171248,52633342,91408533,0.0177966010335779
81,42,10457298855,53479518,105344432,0.010775776250943558
82,42,12993419960,54327511,106603146,0.008796314999725687
