d,betaprime,total cost,preprocessing,single enum,probability
192,150,9929828772571290598446727168,4259294645435633762304,12480587631606582214656,1.2025772285389242e-06
193,150,19068747192985746524847734784,4353451824293419679744,13160379464184965890048,6.551812432536748e-07
194,150,25039421369102217740977963008,4447609003151205597184,13459857522252872417280,5.101669799494218e-07
195,156,48259975993245178669511475200,50288723174784468254720,131762699976338382520320,2.6909708280333335e-06
196,156,63117256967108185262953332736,51482534054457707069440,137200707378185393668096,2.1324916841166142e-06
197,156,119796833985828916005452120064,52676344934130945884160,145133212687720213643264,1.177888746733404e-06
198,156,158019233154173392552244281344,53870155813804184698880,150841425485443262054400,9.241338106511679e-07
199,156,304986964147650952849585602560,55063966693477423513600,159957387709031114604544,5.029245132240337e-07
200,156,406289032554483272336797597696,56257777573150662328320,165908343376664005181440,3.90072421013983e-07
201,158,789752859604182294007423959040,125965878895477799256064,365071548709747241779200,4.435329508280428e-07
202,162,1040886777675246186027431231488,665581681725488702160896,1725776674289857043890176,1.6388658727106005e-06
203,162,1994136791097469534234793213952,681023455868195721707520,1858310165508943754821632,9.083792744035167e-07
204,162,2624196578967143605464779980800,696465230010902741254144,1925237409195094832054272,7.126716924710978e-07
205,162,5048249876025810510762454548480,711907004153609760800768,2058427420909543148748800,3.914658373144451e-07
206,162,6737182696906380697613828620288,727348778296316780347392,2136566829582175487131648,3.032385583004163e-07
207,162,13316220072713710383133412556800,742790552439023799894016,2263729006783788300107776,1.6105923498183995e-07
208,162,17701517549208075177414872793088,758232326581730819440640,2384780178876796220997632,1.2665961944471233e-07
209,164,34624846103603617931427892428800,1718682268392497365385216,5255404206563196244328448,1.4368189342027126e-07
210,164,46739190659504273859396910448640,1754390732673174682468352,5470829818804725744664576,1.1027383900702768e-07
211,170,92061050261548162876799138660352,21196249968445205466054656,58235896082924231924383744,6.154925984531616e-07
212,170,121846049529273809414344042086400,21677062416338803144785920,59764251025963044562796544,4.767995202716194e-07
213,170,236195778364742275723900722610176,22157874864232400823517184,63381363919346995466076160,2.5834246037712617e-07
214,170,313939995188808261201357554319360,22638687312125998502248448,65598698028058126625800192,2.004973039230034e-07
215,170,617355501356831175355148080775168,23119499760019596180979712,69761749561287131361443840,1.0732361676245156e-07
216,174,838713246466198568434407269466112,131571737197613378682486784,360492266227546687908347904,4.1851458731410107e-07
217,174,1599070913325815624530928601137152,134495053785561435276836864,381962426159967690123378688,2.30393061309744e-07
218,174,2157518978082873499985514267148288,137418370373509491871186944,401441797338871588936744960,1.781656661568528e-07
219,174,4172818406382505071566468604231680,140341686961457548465537024,421296869550431900184608768,9.601299243433662e-08
220,174,5631453232806874035266789975261184,143265003549405605059887104,436723074122038608075423744,7.34684987826402e-08
221,174,11196785839194369671894805170356224,146188320137353661654237184,459373916719395408556589056,3.858051333977364e-08
222,176,15254827825868089988036632726470656,340532490061469593987186688,1026967691322426321591599104,6.394736676200928e-08
223,178,30203444469380046388449874817318912,815216365451737663430197248,2439977884708453285447598080,7.688170686830231e-08
224,178,41526386186425464362733815436673024,832194061074201723986247680,2550891247686655980651675648,5.811542195664712e-08
225,182,80213889653129703289711717095833600,4751272194850939603857178624,13391295018719566940919037952,1.6134359397756305e-07
226,182,108405170600894506420460621081346048,4854569098194892573756096512,13921551841774941210893352960,1.2355446576595195e-07
227,182,209977030527348639769422967114563584,4957866001538847192922456064,14571640545091549191940866048,6.634711810239326e-08
228,182,283868916615225395717447594230677504,5061162904882799613065560064,15362271887553706879245877248,5.13231766235965e-08
229,182,565474059858955453764098663901036544,5164459808226753132720291840,16095726386146331782084034560,2.681988849925017e-08
230,182,762306487497401416612698623429312512,5267756711570706652375023616,16727202244119508118172336128,2.0582405634445715e-08
231,182,1526543752277522277056357261522239488,5371053614914660172029755392,17400057744156503918090649600,1.064088050157739e-08
232,184,2073975279558741748907310243496591360,12753011348730812902355763200,40145262685207355432504393728,1.8194516530479013e-08
233,184,4183763372438498021975125745024892928,13003010545135314616591581184,42558409863422581123756064768,9.473464271933076e-09
234,190,5702697825828178805526095548584558592,182878966373037384820963934208,518348253754906375863406690304,8.771643741152916e-08
235,190,11161619174168022604034057810057625600,186773347182113464422521372672,547804257992775595233829191680,4.694756484803166e-08
236,190,15020400352818947782129413036949110784,190667727991189473655334633472,563910188502433370041676201984,3.58364657290592e-08
237,190,30054782723852264229220835618233253888,194562108800265553256892071936,598662409889335777909347975168,1.8827173742738987e-08
238,190,41140126938559904412089401034217095168,198456489609341562489705332736,625522786241632058782659903488,1.4287401706866438e-08
239,190,81888293382140228870218280036407967744,202350870418417642091262771200,655338933977964822164798439424,7.471555435389896e-09
240,192,112708650950121976598214629281218166784,505495326142955368675685695488,1570091756950757316105707978752,1.3136700606369755e-08
241,196,225729114966481077773745099285186215936,3024625510101839529160829042688,8759886540626735719505538842624,3.724145285729483e-08
242,196,310223526868876919766703884339827965952,3087742767068947863957363752960,9186409398964855939817004859392,2.8224051980333508e-08
243,196,611157745772090872429695050458811334656,3150860024036056198753898463232,9527142770080998730696606351360,1.4797900979481573e-08
244,196,837436786879057261922975955800540839936,3213977281003164533550433173504,9960493518716143406991179513856,1.1222348196710051e-08
245,196,1654221994029951293056262694243124903936,3277094537970272868346967883776,10653688630362548555011745382400,6.0073693961213145e-09
246,196,2292442015936254647309417669684866580480,3340211794937381203143502594048,11034408873567136203600247652352,4.473017833359436e-09
247,198,4548920948952947442180510737297020289024,8205107438276470043808851034112,26426465442503327411033734119424,5.43083268354621e-09
248,198,6339464416755715417652409484351624970240,8363126671430643031740816293888,27373498402389417965691930148864,4.021273054375483e-09
249,202,12573055328008454876505141598518606036992,51925759198440044259641162465280,156665037626089518994100586545152,1.1834690674993479e-08
250,202,17381772845494420967053844646281303031808,52966645976115286223543943036928,161314972960089187977188765335552,8.794141399094361e-09
251,202,34453192659300180710389443993736210022400,54007532753790528187446723608576,171870669808087430424685319290880,4.676785448828305e-09
252,202,46985934749352792802046114743393380728832,55048419531465770151349504180224,176519050736728479991028642742272,3.5157037854564076e-09
253,202,95990823860152894724312886912238649081856,56089306309141012115252284751872,192730207676850313756069429510144,1.8490868720756002e-09
254,204,135727297483752542613970661812492241469440,138832242966125493798121695608832,446479432968915101795662526676992,3.076256770008964e-09
255,204,272715960534655179327627653957007538388992,141456439545092645847835776909312,478536190239733571623554534866944,1.6217300656557515e-09
256,206,374459437017901440141990733641615514009600,356266981436019513155302599950336,1145425773225473575026759370276864,2.860743382949394e-09
257,206,760597482020532540002444849568012629442560,363004164132925901734215776468992,1198843469268659198912938979098624,1.4648271387816844e-09
258,206,1064859698683765896549625715118430121623552,369741346829832290313128952987648,1253891911580306616386007557210112,1.0876724921064677e-09
259,206,2187125235832630661530663234164988254879744,376478529526738678892042129506304,1322900581420298025808979818446848,5.542672536801116e-10
260,212,2993924516457791471934113726612055508647936,6194307098171694991064640526483456,18585658679148585769780456638644224,5.904218913838552e-09
261,212,5979195850405501705895241895676484704534528,6316153147700968764450187549605888,19891276585261578889169462645227520,3.1266858454002124e-09
262,212,8377383795619784538667323251878284729778176,6437999197230242537835734572728320,20250454805331848109730459287552000,2.272571737571824e-09
263,212,16771055456835045398243768244233709016842240,6559845246759516311221281595850752,21383129110659737733693505699577856,1.1885428239317204e-09
264,212,23503660641793400704491311555454780905095168,6681691296288790084606828618973184,21901839575863716101279177666199552,8.675269288772269e-10
265,212,47105727061022514519858599788121106379964416,6803537345818063857992375642095616,23662704446678711385693124791631872,4.613683201101635e-10
266,216,64957193718868459648426216534163183378628608,44287563565453115064950817147584512,140974168819087032743758466998337536,2.0345157837640886e-09
267,216,130676405041685909503935536180922744492261376,45126276811919311039311839051644928,148652440119128687002976837062098944,1.057819320011089e-09
268,216,188486074009414652432561073418577738796630016,45964990058385507013672860955705344,152120353264345474846899841068433408,7.496795619469206e-10
269,216,381101563069173446998048707752086371183886336,46803703304851702988033882859765760,160242027936858112955624352139706368,3.875503630809129e-10
270,216,524720702053388255819663104466910568813428736,47642416551317898962394904763826176,165193124654220085359532262847152128,2.8934671119169436e-10
271,218,1074485408100167437080969348372182343910162432,120456996971944171555209528853135360,407867013730054579109144111865659392,3.507538314526959e-10
272,220,1492568354750563121411327504539612463474147328,308748330878698439248276798109122560,1024664577772710534766365114896482304,6.372840115163235e-10
273,222,3113869034797911151147282442751390980868407296,820360595557075653388420887655481344,2652939580409658864396039279005925376,7.956912324881113e-10
274,222,4337163150845503925266031455630801478300467200,835615423382943791799160713869524992,2723103951210497295908469314517204992,5.853162488516856e-10
275,226,8963346207818891306420586332632371163859779584,5614566626791465058661103912290877440,17319050868767494933973212568976621568,1.8251770125626877e-09
276,226,12705532742551962655381888471196417247198314496,5722971797392359675762028975629533184,18048637215422341105696039235921903616,1.334652781291888e-09
277,226,25939911213440541067880101538228033823839354880,5831376967993254292862954038968188928,19045657796022905782780767369561112576,6.841206898337244e-10
278,226,36439796129107301709508189192196605082188382208,5939782138594148909963879102306844672,18843315023546724682883973493536325632,4.851569288407558e-10
279,226,70308177773741968737842979710809589772988710912,6048187309195043527064804165645500416,20529488920301247746704264497966612480,2.6965828095859404e-10
280,226,100273319236619577035431988248456094468293001216,6156592479795938144165729228984156160,21263620210884361468116625317703974912,1.9506889564918173e-10
281,228,212231153937240960754311801045413726829892599808,15841611795097168456563063291230814208,53855249904528787696222973845416443904,2.3426460984007066e-10
282,230,297788007088320310313070597512566369047480893440,41764277111711389155147483320191811584,136812467758288489645129821735312424960,4.2777982279692163e-10
283,230,623810279813997439540894538442386033807026290688,42526583599208788948446703457180581888,140393857195376295689837150301381984256,2.091762193411973e-10
284,230,853267725404361895090773862484569569371835334656,43288890086706226520677786551331061760,150818186861676241199866939863283531776,1.6227762687320344e-10
285,230,1756531739910456762842601661597986144824739233792,44051196574203631036343489557965045760,154009414526468521969081353882421952512,8.043493408387078e-11
286,232,2465813373937274833537018962237212491244481019904,117719523889854769911150151636139114496,405271834255200978780889609730313420800,1.5129929564366364e-10
287,234,5006296454820388197706172036628896692598330097664,317854304760843026009225239271617593344,1077400476573096311323400452046285963264,1.9881060794307922e-10
288,236,7249315901958429424903765565923025774213337186304,822854157865521427764508115110790692864,2649284894040734461722014194096568008704,3.416667222737577e-10
