d,betaprime,total cost,preprocessing,single enum,probability
3,2,65,64,1,1.0
4,2,127,125,2,0.5115806393178025
5,2,219,216,3,0.9849122498461097
6,2,516,512,4,0.531414034900498
7,2,736,729,7,0.9700440157282773
8,2,1007,1000,7,0.5390961855413969
9,2,1741,1728,13,0.9553922311963401
10,2,2210,2197,13,0.5153929179825572
11,2,2767,2744,23,0.9409538707767322
12,2,4120,4096,24,0.5224136401430797
13,2,4958,4913,45,0.9267259494496697
14,2,5880,5832,48,0.5501338217774644
15,2,8087,8000,87,0.9127055221327641
16,2,9358,9261,97,0.5571972599590844
17,2,10817,10648,169,0.8988848870051429
18,2,14016,13824,192,0.5116063941532359
19,2,15892,15625,267,0.882173029292394
20,2,19948,19683,265,0.5419610720944001
21,2,22334,21952,382,0.839507073091856
22,2,25390,24389,1001,0.59200871406172
23,2,30293,29791,502,0.7294094905719485
24,2,35053,32768,2285,0.5609232233274936
25,2,37839,35937,1902,0.5135905492029077
26,2,43421,42875,546,0.555311454291785
27,2,47553,46656,897,0.5476287259218858
28,2,51544,50653,891,0.5181969237344278
29,2,60683,59319,1364,0.5310543523045632
30,2,65340,64000,1340,0.5127172099152522
31,2,71550,68921,2629,0.5117481537163451
32,2,82496,79507,2989,0.5353865075683217
33,2,90351,85184,5167,0.5164452172746016
34,2,97042,91125,5845,0.5097395973243776
35,2,116864,103823,13041,0.552431707948322
36,2,123975,110592,13299,0.5097632323857452
37,2,139485,117649,21836,0.5174421363928345
38,2,160827,132651,28176,0.5663917553821551
39,2,184921,140608,44313,0.5410416615539292
40,2,210684,157464,53220,0.543348199671822
41,2,273287,166375,106912,0.5266596837554788
42,2,296201,175616,117981,0.506917616242175
43,2,418401,195112,223289,0.5104103457966652
44,2,479821,205379,272902,0.5088773270656113
45,2,756789,216000,329271,0.4018851410217504
46,2,894819,238328,350729,0.3747454857087889
47,2,1442250,250047,400555,0.2751524689761749
48,2,1676716,262144,401776,0.24607409011001521
49,2,2830272,287496,505824,0.18122883384620905
50,2,3303360,300763,498447,0.15851466959106922
51,2,5634415,314432,598098,0.10910756236823103
52,2,6732779,343000,635501,0.09848080822641361
53,2,11849554,357911,763236,0.06526637798653859
54,2,14082579,373248,792248,0.05732900955741749
55,2,25958045,405224,962919,0.036899763989965965
56,2,31162247,421875,991838,0.03184394105837238
57,2,58774735,438976,1181997,0.019481507671461454
58,2,72195139,474552,1255511,0.01694922499174461
59,2,140482724,493039,1487000,0.010003958559767323
60,2,175657676,531441,1586150,0.008562713540846086
61,2,352293213,551368,1888281,0.004927803585689888
62,2,442953753,571787,1963641,0.004074827535912839
63,2,923145806,614125,2324647,0.002268324369022159
64,2,1176344032,636056,2387893,0.0018320807720394925
65,2,2531572113,658503,2888108,0.0009988698289937492
66,2,3333805304,704969,3035491,0.0008000435610891507
67,7,6425367806,2374958,9320231,0.0012975673769946195
68,12,5616543385,3277531,11291090,0.001848630806145855
69,17,6186402061,5037010,16943951,0.0025314005414368472
70,22,3004023445,8426410,21415120,0.007061264920652317
71,27,3539486339,13305771,31606067,0.009010712753674642
72,31,2214379031,18685122,38014555,0.018099682818714838
73,36,1960384250,29195307,50887296,0.028720177626140268
74,41,1440211371,56682847,80218699,0.06556068281397849
75,42,1707550589,62627076,90084844,0.061804800212978676
76,42,2038155918,63608400,92566240,0.053193716706258054
77,42,3516717863,64591560,103198844,0.03346281226418171
78,42,4572766113,66563460,109265522,0.027056492674659066
79,46,4310018355,179398630,242023681,0.06737257157130075
80,48,5360208362,329702932,397124804,0.09219714732753509
81,48,8812231424,334839030,450388170,0.06158605370088541
82,48,10569690894,339977090,449419544,0.051882166106279055
83,50,18677056676,661155679,879571656,0.057148426197905236
84,50,22421518993,671179667,904145696,0.0488843615126624
85,52,37333637417,1336358894,1716955890,0.05667178280287022
86,52,48545390644,1376993621,1803676953,0.04566292370678785
87,54,80222935475,2823826095,3591433310,0.055448521459919194
88,54,96653598329,2866198089,3694949210,0.04727064873789527
89,56,176380113476,6317110194,7873375653,0.05577599983600668
90,56,213965856273,6410727619,8133915821,0.04733409310832098
91,56,365118777090,6504347221,9110320149,0.030046471026266713
92,58,482584385144,15022041772,18728795478,0.0486659758918357
93,58,819542966850,15238766692,20858706501,0.03093162574062586
94,58,1011212974656,15455493863,21621268434,0.025816333796855426
95,60,1898727854698,37510562897,50231356296,0.03242712981678896
96,60,2350005768087,38037684536,51849334572,0.026916535853467084
97,62,4065173069339,94425003130,119537552092,0.03684969314501686
98,62,5480513481440,97083034555,128244347753,0.028902951937974795
99,62,9594301510212,98412053822,143708572126,0.01784094277047762
100,64,13212677835304,260922975916,333226879844,0.03156899171939402
101,64,23050831378269,264452173255,369916357522,0.019440240865263653
102,64,29057641350294,267981373042,387672413862,0.01596710964707807
103,69,34878709168684,1381787877557,1528531065066,0.05778587515078083
104,74,6598006445602,404280924815,406436609614,0.0839199389224634
105,76,8839042354513,527796774481,534395490673,0.08215213166345711
106,76,10725950982302,540026072947,566722989970,0.07096276806884247
107,76,16702314011344,546140726032,619661826926,0.04857175936500188
108,76,19709458632938,552255381710,640302819195,0.04224434295810171
109,80,26429069080890,1261038503196,1318669614923,0.06726036882944594
110,80,30522786194126,1277119324089,1349687368708,0.05954479338473642
111,80,48229312998924,1293200147646,1494373446374,0.04039201794224827
112,80,58212970157993,1325361802823,1551085489906,0.03463439867270604
113,80,95533921181392,1341442634480,1742016490347,0.02276109524296568
114,80,112918772765428,1357523468873,1798220375461,0.01973859946832295
115,82,194017010420094,2556546337328,3307676693405,0.02133043546895342
116,82,233526941717124,2588255627634,3416352824659,0.018174958961951097
117,84,383097516061080,5275392856008,6705806238328,0.022062669791205587
118,84,472947555766332,5409922419325,6948085188615,0.018467019414386564
119,84,794439100828166,5477187205267,7723661023580,0.011783449047986266
120,86,993351050280641,11691067492448,14888856941385,0.018906682695310314
121,88,1623669161628454,22900407888706,28431807403777,0.022300112219982408
122,88,1938980627124754,23190368924284,29390464508946,0.01915855581410037
123,88,3330410131856245,23770291004314,32702505018494,0.01202320325426191
124,88,4049109128997945,24060252048802,33984965093883,0.01017398003652993
125,90,6772954796640055,52392397774451,69784642997379,0.012785648147822397
126,90,8524807441509538,53676193426192,73171679785309,0.010558405323684513
127,90,14643903679720956,54318091256644,80030507436215,0.006523167369686655
128,92,17700824175609618,120687750368378,159535674233812,0.011229581865958146
129,94,31191577287355672,253050880214416,325799623380724,0.013151042786634112
130,94,37805107734400352,256084519412437,337901297338687,0.011145426155064905
131,94,64580205135513952,259118158613608,368017481432620,0.006903372075790203
132,94,82687620346830832,265185437025472,387863141424645,0.00561803945628259
133,96,140650687758203712,608257404820920,846200242004608,0.007349553781075987
134,96,172899143113800640,615307422415164,870085382981523,0.0061097153178840315
135,98,305271631635273984,1432832426422222,1946983187866525,0.007866748911088904
136,98,374679384971956224,1449273967166299,1995464314425970,0.0065369575726126755
137,98,653448660181953024,1465715507913670,2204034743631681,0.003998140019551376
138,103,779979397462002816,9065924097048864,10438228319507028,0.017679860342536168
139,106,514074552337537408,3066020602406236,3941234278744963,0.009676419256989748
140,106,610167278700816256,3130376308936248,4087031458994197,0.008402411468139382
141,110,992591205067965440,8065174085014212,9736180150555210,0.012711890173935817
142,110,1169654746739171584,8156742443923202,9957422721902362,0.010986680918898782
143,110,1873320221857792000,8339879161751512,10998488826728282,0.0073368952343262845
144,110,2206952417663491072,8431447520670870,11170329288688236,0.006315823442958507
145,110,3633709182074011136,8523015879593720,12179015692118676,0.0040558621542207685
146,110,4358212826525511680,8706152597449966,12581272057200486,0.003478250827546794
