d,betaprime,total cost,preprocessing,single enum,probability
3,2,65,64,1,1.0
4,2,219,216,3,0.9849122498461097
5,2,346,343,3,0.9849122498461097
6,2,734,729,5,0.9700440157282773
7,2,1007,1000,7,0.9700440157282773
8,2,1738,1728,10,0.9553922311963401
9,2,2210,2197,13,0.9553922311963401
10,2,3392,3375,17,0.9409538707767322
11,2,4119,4096,23,0.9409538707767322
12,2,5865,5832,33,0.9267259494496697
13,2,6904,6859,45,0.9267259494496697
14,2,9323,9261,62,0.9127055221327641
15,2,10735,10648,87,0.9127055221327641
16,2,13947,13824,123,0.8988896831710534
17,2,15800,15625,175,0.8988896831710534
18,2,19936,19683,253,0.8852755658336039
19,2,22320,21952,368,0.8852755658336039
20,2,27540,27000,540,0.8718603418164662
21,2,30593,29791,802,0.8718603418164662
22,2,37140,35937,1203,0.8586412207515879
23,2,41128,39304,1824,0.8586412207515879
24,2,49450,46656,2794,0.8456154497215116
25,2,54978,50653,4325,0.8456154497215116
26,2,65711,59319,6392,0.8327803118526791
27,2,72208,64000,8208,0.8327705941359081
28,2,83931,74088,9843,0.8199742381689308
29,2,91402,79507,11895,0.8181729557381197
30,2,104670,91125,13545,0.803284682628876
31,2,112940,97336,15604,0.7888289752238851
32,2,128114,110592,17522,0.7695514320768321
33,2,135385,117649,17736,0.7031741066515622
34,2,153927,132651,21276,0.6968602835086938
35,2,161393,140608,20785,0.5636845730539478
36,2,180416,157464,22952,0.5314862216881456
37,4,236872,189113,28974,0.48148090424987017
38,4,297072,208806,31009,0.43777914888306074
39,7,479100,302397,43940,0.40290209352469886
40,7,576339,327311,46211,0.3701781934906098
41,9,980030,469275,69823,0.32456715260317165
42,12,1164534,887490,137463,0.4662607443482762
43,14,1855132,1266179,189839,0.4287222914948892
44,14,2204863,1328824,197052,0.3896203867055127
45,19,3465040,2680630,418672,0.47168112170996646
46,20,4261677,3319732,502800,0.47262467384753604
47,23,6009341,4719025,745037,0.47723412918339414
48,23,7137272,4913785,776758,0.4337691762957074
49,27,10066288,8026799,1381083,0.4865957474733446
50,29,12000098,10176254,1790122,0.5090167458259397
51,31,15104945,12384173,2135588,0.4962694727655473
52,33,17550320,14966801,2583519,0.5125240724036692
53,35,21960040,17633861,3126461,0.4905269229584032
54,36,25478268,20067944,3528861,0.4834958738099541
55,36,33432356,20448703,3805716,0.4040027584105434
56,36,39920096,21211704,3905473,0.361625374265605
57,37,57221377,27126639,4871945,0.32894898935472333
58,37,69735671,28118506,4935239,0.2868888594668998
59,38,98241278,34755640,6080345,0.25659804152834964
60,38,121743213,35991457,6128575,0.2187036739731649
61,38,183480678,36610173,6439140,0.15411370616278544
62,38,238462174,37849248,6280079,0.12366872004806678
63,40,391832813,69552988,11722311,0.13753910274955208
64,42,423371190,137421346,25321925,0.23982808122443694
65,42,641412263,139778351,24348202,0.16684382960488353
66,42,775394252,144494113,26605823,0.14564553885313017
67,46,1072448685,495601434,94954504,0.32484578249934953
68,46,1281840849,512709348,100469101,0.2891091779091963
69,46,1805004259,521264220,103089998,0.2186632223414046
70,46,2203751571,538375824,102478443,0.18734061604130103
71,47,3179265113,756652337,155501032,0.18507978480386483
72,47,3906524275,780758399,166635854,0.15886128365882995
73,52,5307800014,2172108380,450053571,0.2970077837832484
74,52,6268627245,2242382262,475105856,0.2659965310427218
75,52,8624917850,2277520199,488911220,0.20451721205279416
76,54,10262964062,3323827228,702602799,0.24411488156765587
77,54,14100848393,3374823095,709993021,0.18669359758071696
78,54,17038288449,3476816906,739904587,0.1618376190962334
79,54,24499474464,3527814861,765900508,0.1175206419900239
80,54,30125070192,3629812901,794267317,0.09945981526019955
81,54,45735224237,3680812999,792744869,0.06739711689982228
82,54,58326594001,3782815377,817109312,0.054705077296125705
83,56,89271863893,5842698051,1391791384,0.05616985157598993
84,58,113103017596,10151624190,2369289462,0.07593273834759427
85,58,174090999307,10291143540,2391173783,0.05063949220437814
86,60,219611842080,17908251572,4054295163,0.06885420597925362
87,60,344171496681,18151788309,4451559091,0.04576853787950292
88,60,438417624359,18638864129,4632172856,0.03715644341406226
89,60,704452163639,18882403224,4602805233,0.02350128353434153
90,64,807778453568,63701004620,15321659644,0.06740568152924889
91,64,1236881278159,64547802082,15382773448,0.04505217853442545
92,67,1454275034442,160848686988,37728875880,0.09281249174210371
93,67,2143894960234,162993641906,38759320600,0.06492670830270203
94,68,2622504145496,198273594447,48029993918,0.06480225229256285
95,68,3920030830966,200837336212,49468106887,0.044527673865623243
96,68,4983470984746,205964822303,51851297328,0.03623194426871101
97,73,7302660225887,808252968382,188562525823,0.09278198784240248
98,73,8682448734580,829484296336,196568326760,0.08084496545640402
99,73,12799477431530,840099961632,201341315357,0.056390035143756866
100,74,15472886133103,1009298688503,243472873825,0.05612053287354051
101,76,23133140791657,1633687788374,394248388144,0.06061969768656661
102,76,28310421872642,1674739783249,408791992744,0.05114534413460285
103,76,42215120156519,1695265782061,419126194018,0.035098190738610986
104,76,51827317415065,1736317782462,444107761914,0.02956545389094802
105,76,81754866430177,1756843784064,441807056988,0.019001421815611645
106,76,103071297673184,1797895790099,469332241092,0.015568873141470502
107,76,166076635367303,1818421794545,481058702965,0.009828354177754716
108,78,212240721648606,3018954720649,796509544453,0.012742057720241637
109,78,349391638586500,3053031376765,824815251585,0.007886106146750298
110,80,445890777867757,5387033523880,1441100895349,0.010864412394202478
111,84,698278471553744,19427539958609,4854934678048,0.024501424993723344
112,84,894038530225779,19879952196330,5053698916187,0.0196978748460974
113,84,1413444132832753,20106158316700,5130366343251,0.012655832420597911
114,86,1803748371410946,39000064335045,9780245909483,0.01910683670109932
115,86,2874061224515826,39439288107441,10155246989659,0.01223404781069134
116,86,3642727567188516,40317735655335,10713684556757,0.009943638482187024
117,86,6050022284762910,40756959430845,11010077965621,0.0060851906485300585
118,86,8087685299441250,41635406985022,11493773127916,0.004675136452758242
119,90,11195473760338438,148424699125509,37693736656987,0.011788998216638995
120,90,14623879487533820,151655813132029,39660083814586,0.009288939575844228
121,92,20685394760106652,270498960343421,69678303476244,0.011662701241721704
122,92,27313160647529312,276316060679935,70749616732194,0.009023509246819165
123,92,42077944798040752,279224610849836,74006347723483,0.005970450938213345
124,94,57438517107659784,503711565700567,130352436236448,0.00784374803553872
125,97,87521236336728784,1368061967776492,335214792418130,0.013786793438134342
126,98,92711575162981600,1651153694491642,407581168855178,0.015715705250109645
127,98,142371385510027056,1668518592068532,429988646786748,0.010459457372774887
128,98,181801660043199136,1703248387225740,436216072238220,0.008359652005397967
129,98,290914339406125504,1720613284806070,451262519860721,0.005311491850363256
130,102,369154587689014400,5496118346230911,1355300783049307,0.013152341976657786
131,102,576892746057061120,5552739190090855,1402994624495538,0.008564147169416201
132,102,726951856769935744,5665980877814277,1492953745777929,0.007000366545752666
133,102,1163880654539450368,5722601721677767,1502283871546142,0.004418388604957853
134,102,1511853202646200064,5835843409408335,1559975873135074,0.0034835473713161506
135,104,2491472297766773760,10576618967242924,2806123140949216,0.003824369675782428
136,104,3302640555510106112,10783928237150440,2879277110064626,0.002946817246116239
