d,betaprime,total cost,preprocessing,single enum,probability
3,2,28,27,1,1.0
4,2,128,125,3,0.9849122498461097
5,2,219,216,3,0.9849122498461097
6,2,348,343,5,0.9700440157282773
7,2,519,512,7,0.9700440157282773
8,2,1010,1000,10,0.9553922311963401
9,2,1344,1331,13,0.9553922311963401
10,2,1745,1728,17,0.9409538707767322
11,2,2220,2197,23,0.9409538707767322
12,2,3408,3375,33,0.9267259494496697
13,2,4141,4096,45,0.9267259494496697
14,2,4975,4913,62,0.9127055221327641
15,2,5919,5832,87,0.9127055221327641
16,2,8123,8000,123,0.8988896831710534
17,2,9436,9261,175,0.8988896831710534
18,2,10901,10648,253,0.8852755658336039
19,2,12535,12167,368,0.8852755658336039
20,2,16165,15625,540,0.8718603418164662
21,2,18378,17576,802,0.8718603418164662
22,2,20886,19683,1203,0.8586412207515879
23,2,23776,21952,1824,0.8586412207515879
24,2,29794,27000,2794,0.8456154497215116
25,2,33621,29791,3830,0.8456141817308708
26,2,37369,32768,4601,0.8327266882389149
27,2,41365,35937,5428,0.8311411908394197
28,2,49488,42875,6613,0.8173330449028781
29,2,54355,46656,7699,0.8059598196174729
30,2,58646,50653,7993,0.7792784744105982
31,2,63407,54872,8535,0.7242290515842045
32,2,73738,64000,9738,0.6990266957804837
33,2,79059,68921,10138,0.5769202184060602
34,2,85005,74088,10917,0.5468288012103322
35,2,132772,79507,11681,0.3873321741944836
36,2,162639,91125,12745,0.36592258502736613
37,3,338113,295656,42457,0.5737046014543726
38,3,360431,315202,45229,0.5386607806383462
39,6,451371,377731,56753,0.4967469434193795
40,7,523110,445541,68353,0.5038030968992195
41,10,727328,628586,95463,0.5084214298463898
42,11,842231,717534,113096,0.5051616570986203
43,14,1262940,1088901,174039,0.5482660191919843
44,14,1361648,1171247,184259,0.5084206117738866
45,16,1867884,1603912,263083,0.5098336966518894
46,16,2168260,1657013,262834,0.46827168263847807
47,19,2935052,2252791,379819,0.47262467404320574
48,19,3536088,2390663,391700,0.4295317378355799
49,20,4856146,2918687,485353,0.39349415640284274
50,20,5705731,3001224,479364,0.35283565651706894
51,22,6904169,3686361,626105,0.35954146812090004
52,22,8476915,3885413,630107,0.3161319865772412
