d,betaprime,total cost,preprocessing,single enum,probability
3,2,126,125,1,1.0
4,2,345,343,2,0.5115806393178025
5,2,515,512,3,0.9849122498461097
6,2,1004,1000,4,0.531414034900498
7,2,1735,1728,7,0.9700440157282773
8,2,2751,2744,7,0.53909618554138
9,2,3388,3375,13,0.9553922311963401
10,2,4926,4913,13,0.5153929179824822
11,2,6882,6859,23,0.9409538707767322
12,2,9285,9261,24,0.5224136401430797
13,2,10693,10648,45,0.9267259494496697
14,2,13872,13824,48,0.550133821777281
15,2,17663,17576,87,0.9127055221327641
16,2,22049,21952,97,0.5571972599591045
17,2,24564,24389,175,0.8988896831710534
18,2,29983,29791,192,0.5116063941540697
19,2,36305,35937,368,0.8852755658336039
20,2,43139,42875,264,0.5393604651662117
21,2,47350,46656,694,0.8717971139572991
22,2,55873,54872,1001,0.59200871406172
23,2,65044,64000,1044,0.8549349138181684
24,2,76373,74088,2285,0.5609232233034813
25,2,80825,79507,1318,0.8035074892850023
26,2,94584,91125,3459,0.5500950265133702
27,2,105499,103823,1676,0.6954419618295279
28,2,118964,117649,1315,0.5321393273500331
29,2,127438,125000,2438,0.511347129083668
30,2,143378,140608,2703,0.5098376595204556
31,2,160192,157464,2728,0.5257987967926279
32,2,182172,175616,6556,0.5341001417177785
33,2,191146,185193,5953,0.5151410764195067
34,2,210332,205379,4953,0.5113155761862678
35,2,240261,226981,11144,0.5068835708336248
36,2,262704,250047,12657,0.5299211003314475
37,2,288140,262144,25996,0.522731122470855
38,2,320320,287496,32824,0.5551115110683648
39,2,370103,314432,55671,0.529864969873032
40,2,407456,343000,64456,0.5370073984283863
41,2,452654,357911,94162,0.5095505646433405
42,2,513934,389017,124917,0.5334581956004527
43,2,657163,421875,235288,0.5201657263836538
44,2,734791,456533,278258,0.5113420279462146
45,2,1061602,474552,587050,0.5108604433819406
46,2,1236769,512000,664687,0.4927218210844141
47,2,1978340,551368,780586,0.381387278914834
48,2,2337508,592704,837257,0.3536335369509788
49,2,3773203,614125,936195,0.2540514350981417
50,2,4467087,658503,980803,0.23032040326507583
51,2,7523839,704969,1167464,0.162663275830303
52,2,8956743,753571,1231401,0.1462278544158588
53,2,15371275,778688,1441901,0.09792088357162872
54,2,18447353,830584,1531859,0.08730589375946228
55,2,33069426,884736,1838008,0.05704156532829769
56,2,40046349,941192,1952011,0.05023142951301583
57,2,73560472,970299,2322675,0.03142900159101358
58,2,90215619,1030301,2483756,0.027403748684528325
59,2,173195788,1092727,2946165,0.016497579374306393
60,2,214429004,1157625,3143435,0.014206635781720092
61,2,424576669,1191016,3672134,0.008137501553781179
62,2,533410730,1259712,3924437,0.0069089768745764345
63,2,1096830607,1331000,4531258,0.003805400022553746
64,2,1404192382,1404928,4851633,0.003173376993586194
65,2,2974091260,1442897,5453636,0.0016527987732622299
66,2,3837383750,1520875,5897339,0.0013780574056736323
67,2,8442642031,1601613,6954727,0.0007226953985147589
68,2,11120953493,1685159,7412046,0.0005833669590586091
69,7,22295893077,5782826,23175000,0.0009260672214563735
70,12,21349514428,8604156,31046501,0.0013239674984312903
71,16,27630164220,13148920,46402159,0.0015362961753820903
72,20,24154915699,20406555,61858670,0.0024265314081349998
73,25,27969287924,32541156,92269796,0.0031782117366460894
74,30,20016436793,52456513,126384331,0.006353298640544229
75,35,20706290101,82324900,186360383,0.009213735075482248
76,40,14593405699,132069934,248343479,0.01842341415708565
77,45,12988975320,312258302,485304474,0.04285641567507001
78,46,13846945052,366776414,538011603,0.04554211222939622
79,48,24308177524,677261530,956992685,0.04682710128606792
80,48,30712739455,691634365,1018001998,0.0389308283141
81,50,52625194018,1290895405,1872527534,0.04197472918513552
82,50,66995866009,1318060887,1959495759,0.034296417542672784
83,52,120193591614,2620489897,3827537683,0.03754608369835511
84,52,153908513376,2674614051,3968668495,0.030321708640850646
85,54,270789774836,5425747563,7932396163,0.03457781084511857
86,54,349130113692,5536831307,8058682635,0.027396357597553243
87,56,643935072297,11977099757,17030444785,0.031623668884314816
88,56,834607785233,12217799218,17751047467,0.02528947975406764
89,56,1504869324377,12338153098,20394980506,0.015396655794228383
90,58,1969270167187,27730192574,39918142042,0.024207173441672468
91,58,3688590392992,28271935644,46603654575,0.01437612456851866
92,58,4923982867659,28813690163,47416567469,0.010982913318898014
93,60,8936032254161,67715448164,105666912752,0.013745506452512504
94,60,11978148102056,69002500433,110857476353,0.010654266861470462
95,62,23004945237828,171399251477,266425788220,0.013484575047373661
96,62,30947212109341,174600217867,280472653031,0.010434849721004238
97,64,58219740089414,454799530362,694523337015,0.013983633506389535
98,64,78991995448142,463225204858,722200672809,0.010648082070863091
99,64,155931419316391,471650891667,826479319603,0.005921044171184567
100,66,213598880067975,1287739439007,2005959796963,0.010939592960677038
101,66,403716015411481,1299251867459,2212420523810,0.006185772080166197
102,71,391791553073024,9174716010271,11090197145754,0.03622470075485382
103,76,95005313300057,5180897459203,5308224373172,0.07573628897328148
104,78,64495471853625,5028510088246,4757550051501,0.1025863477534079
105,78,102182319605205,5070051223160,5330009814611,0.07003131409538257
106,78,128352277334702,5153133502888,5563974273859,0.057823832248507845
107,80,216327077908775,10732116879786,11081504614032,0.06940541760455601
108,80,276292110502595,10916393952714,11692920073422,0.05670317101610947
109,80,449111807292374,11008532494272,12980360694669,0.03738614286115707
110,82,581527244807814,23340828093748,24759981374891,0.05729744500965919
111,82,986029424023445,23742803960287,27730294659699,0.03655374476744218
112,82,1274492193339376,24144779840795,28881806985013,0.0292435554011452
