d,betaprime,total cost,preprocessing,single enum,probability
3,2,126,125,1,1.0
4,2,346,343,3,0.9849122498461097
5,2,515,512,3,0.9849122498461097
6,2,1005,1000,5,0.9700440157282773
7,2,1735,1728,7,0.9700440157282773
8,2,2754,2744,10,0.9553922311963401
9,2,3388,3375,13,0.9553922311963401
10,2,4930,4913,17,0.9409538707767322
11,2,6882,6859,23,0.9409538707767322
12,2,9294,9261,33,0.9267259494496697
13,2,10693,10648,45,0.9267259494496697
14,2,13886,13824,62,0.9127055221327641
15,2,17663,17576,87,0.9127055221327641
16,2,22075,21952,123,0.8988896831710534
17,2,24564,24389,175,0.8988896831710534
18,2,30044,29791,253,0.8852755658336039
19,2,36305,35937,368,0.8852755658336039
20,2,43415,42875,540,0.8718603418164662
21,2,47458,46656,802,0.8718603418164662
22,2,56075,54872,1203,0.8586412207515879
23,2,65824,64000,1824,0.8586412207515879
24,2,76882,74088,2794,0.8456154497215116
25,2,83832,79507,4325,0.8456154497215116
26,2,97891,91125,6766,0.8327803127796929
27,2,114521,103823,10698,0.8327803127796929
28,2,131616,117649,13967,0.8201328654940069
29,2,141568,125000,16568,0.8199880705250816
30,2,160440,140608,19832,0.8070834611454228
31,2,180725,157464,23261,0.8028867682398145
32,2,203572,175616,27956,0.7884439688817557
33,2,214165,185193,28972,0.7616372850132773
34,2,237271,205379,31892,0.7388477474277172
35,2,261733,226981,34752,0.6748392000624721
36,2,287557,250047,37510,0.643987462348449
37,2,302291,262144,40147,0.5314862216626479
38,2,343082,287496,42674,0.4966665688961372
39,5,521616,381078,57779,0.4512817723421722
40,5,626447,411707,60914,0.41619266789191245
41,6,1031597,492316,72332,0.32325062133301136
42,7,1238944,625186,90442,0.33770159436623054
43,10,2130111,1092184,153304,0.3410449608650341
44,10,2548144,1146564,158669,0.30607987085709665
45,13,4339719,1947659,279296,0.3065389206028096
46,13,5205733,2027877,286065,0.2717298110598615
47,17,8612259,3984189,591424,0.3154517689059474
48,17,10343025,4123782,598390,0.2779668952288468
49,20,16751772,6717108,972848,0.27925191235593755
50,20,20292843,6935147,973591,0.24271389313126185
51,22,30882777,8885119,1308659,0.20979456145057282
52,22,37999251,9158023,1300073,0.17825657546642593
53,22,70208464,9295290,1281489,0.10189193353635544
54,22,88960386,9571488,1265390,0.08322946190382526
55,22,195116719,9849941,1245464,0.03975323541659481
56,38,88114018,48583084,8005798,0.3675347300344733
57,38,129977865,49298356,7602213,0.2682263621015845
58,38,149492790,50730688,8498880,0.24620266180714653
59,38,252370922,52165444,7964823,0.15630463453387514
60,40,318228158,91363797,15183386,0.21245864581706778
61,42,480246344,173085108,30597966,0.26106656134737005
62,42,604360843,178109582,29643910,0.2174670735449742
63,42,995279664,183136648,29157381,0.14114756551441954
64,42,1173449472,188166354,32415352,0.12549169683845646
65,46,1911367173,740767771,141769844,0.2806273808954717
66,46,2358808864,761668682,138222810,0.23825602441145174
67,46,3764599263,782572353,132175859,0.15914383349323416
68,46,4828729967,803478832,130043453,0.12882252115039647
69,48,6966824855,1570790783,306920734,0.17491047288210018
70,48,8920137516,1612250731,296971945,0.14159728657772364
71,50,14457869855,3159003776,585048209,0.1686722517259935
72,50,18188288277,3240268900,605393998,0.14000439731372055
73,50,27632188120,3280902592,639379916,0.09625282639634641
74,52,34643424570,6145551805,1220149811,0.14072707079284283
75,52,58556375489,6297650211,1142167763,0.08664798206435013
76,52,74276208270,6449751761,1220007976,0.07101296370427244
77,52,128519491622,6525803729,1124781630,0.0415757217353443
78,52,166936886594,6677910085,1226332531,0.03321213458419713
79,54,332513066479,15557831173,2678863244,0.038368259169989614
80,54,434045505845,15913788647,2946863340,0.03052182099975683
81,54,823798049052,16091768641,2665112400,0.01611091871467268
82,54,1101009787327,16447731173,2872233445,0.012439486075662911
83,58,439677512417,27750054983,5558899303,0.052607440634380505
84,58,567294497696,28348154040,5954667575,0.042217354991522585
85,58,945646214135,28647204888,5933722003,0.025748878023149145
86,61,1061089981142,89324176056,20335911966,0.0710703936065812
87,61,1774339769260,91245298240,21389175093,0.04427322170551135
88,62,2301029529081,116251720858,25302643123,0.04293478395611225
89,62,3775015164649,117460514154,25640492580,0.026678898044020675
90,62,5028461650207,119878103544,26900262458,0.020607050527198495
91,66,6741702212816,456665952200,105692484516,0.05776824642740337
92,66,8632362854865,466101341258,109492993576,0.04645171002501388
93,66,14175553416487,470819037232,107469035173,0.028681571807281116
94,66,18651406126682,480254432104,112429843395,0.022413073452842647
95,71,30343308743146,2842799653536,660964333005,0.07906979901698225
96,71,38886635000721,2900631300293,665688594033,0.06332771408944013
97,71,59803688304524,2929547125181,700239887815,0.04237287307547131
98,71,78707956944510,2987378778004,702531552833,0.03288955856220449
99,74,123265882826770,7116130851320,1633074041163,0.049371918471461065
100,74,161441591193792,7254704731260,1713311625892,0.0388514499393979
101,74,256880512953615,7323991672801,1721657033624,0.02480663982593153
102,74,353285254931088,7462565559059,1883998290945,0.018695513582479648
103,74,632659027009429,7601139449588,1937873840935,0.010698006993569499
104,74,883735536920772,7739713344437,1981624826229,0.007816340648341536
105,76,1565677859705752,16417507474371,3972509286838,0.009247024838051069
106,76,2201048484797512,16714612510587,4074422445787,0.0067149855223981765
107,80,4159260179142546,95532167467224,22855432736077,0.020099771311702715
108,80,5740843575901911,97268349702669,23760063599063,0.014926317464626805
109,80,9998536114595196,98136440822089,25355752213367,0.008771904344905313
110,80,14075226131192126,99872623064356,25725129555750,0.006345233058557946
111,84,7460664451027966,133314779164720,33374143649014,0.01581159018267574
112,84,10107606891718324,135583957383655,34541460062731,0.011934901701943145
113,86,12315112539878900,248085438219737,61171324275482,0.01775412734444244
114,86,16469165753422376,252329798379532,63749651688367,0.013597458466396333
115,86,29216058999983504,256574158544102,65655695097076,0.007836811728312416
116,88,40235668778567656,549910993411603,142554405688483,0.012201866764338654
117,91,52805656687784320,1575389259998995,382299888036817,0.026099716216295765
118,91,71000803067448928,1602356069102412,386946926107422,0.019788252936344147
119,92,114557635260093872,2071737468450162,518335575665251,0.015999007591649645
120,92,162998469962569664,2106266920131710,536850413695744,0.011500748492699314
121,92,263137678039691104,2123531645974371,546336033385898,0.007211715190719977
122,92,358046819678793216,2158061097663497,576936532085654,0.005434217605457361
123,95,499937683477316096,7477763921988654,1802153015733231,0.013154025290086151
124,97,665492903317036928,14745635663609694,3500757909082472,0.01936850269778105
125,99,1068701358791554944,30133978262979688,7097730869182663,0.024545612186936166
126,99,1273443386270118656,30627041794574536,7394597000618836,0.021073517603443944
127,99,2145136492842768896,31120105326174664,7415741741909544,0.012733061726029797
128,99,2821702313443259904,31613168857780120,7878520294660028,0.009934155549263926
129,100,4687977894475682816,41479979132074472,10480104641861982,0.007875372975295624
130,100,6411488219849177088,42125745497156096,10650203985927362,0.005854709589561893
131,100,11756351073898782720,42771511862243168,11202664002411852,0.0032696788605390695
132,100,16668586835831179264,43417278227335736,11504320115230666,0.0023476680746058716
