d,betaprime,total cost,preprocessing,single enum,probability
3,2,65,64,1,1.0
4,2,127,125,2,0.5115806393178025
5,2,219,216,3,0.9849122498461097
6,2,516,512,4,0.531414034900498
7,2,736,729,7,0.9700440157282773
8,2,1007,1000,7,0.5390961855413969
9,2,1741,1728,13,0.9553922311963401
10,2,2210,2197,13,0.5153929179825572
11,2,2767,2744,23,0.9409538707767322
12,2,4120,4096,24,0.5224136401430797
13,2,4958,4913,45,0.9267259494496697
14,2,5880,5832,48,0.5501338217774644
15,2,8087,8000,87,0.9127055221327641
16,2,9358,9261,97,0.5571972599590844
17,2,10817,10648,169,0.8988848870051429
18,2,14016,13824,192,0.5116063941532359
19,2,15892,15625,267,0.882173029292394
20,2,19948,19683,265,0.5419610720944001
21,2,22334,21952,382,0.839507073091856
22,2,25390,24389,1001,0.59200871406172
23,2,30293,29791,502,0.7294094905719485
24,2,35053,32768,2285,0.5609232233274936
25,2,37839,35937,1902,0.5135905492029077
26,2,43421,42875,546,0.555311454291785
27,2,47553,46656,897,0.5476287259218858
28,2,51544,50653,891,0.5181969237344278
29,2,60683,59319,1364,0.5310543523045632
30,2,65340,64000,1340,0.5127172099152522
31,2,71550,68921,2629,0.5117481537163451
32,2,82496,79507,2989,0.5353865075683217
33,2,90351,85184,5167,0.5164452172746016
34,2,97042,91125,5845,0.5097395973243776
35,2,116864,103823,13041,0.552431707948322
36,2,123975,110592,13299,0.5097632323857452
37,2,139485,117649,21836,0.5174421363928345
38,2,160827,132651,28176,0.5663917553821551
39,2,184921,140608,44313,0.5410416615539292
40,2,210684,157464,53220,0.543348199671822
41,4,264655,179570,76225,0.4981570000147611
42,5,297025,198674,98351,0.5161370902532685
43,5,420603,219047,195051,0.5045641960030104
44,5,472605,229752,240438,0.5082114675480613
45,5,727684,240812,349800,0.43952910842468135
46,5,861419,264017,370711,0.40881407796968783
47,5,1377014,276175,426305,0.3050485401288159
48,5,1602547,288710,422791,0.27146086810882025
49,7,2651266,377492,596531,0.2305434794844351
50,7,3096745,392231,609263,0.20602140507904707
51,7,5184599,407371,711239,0.1426505811435156
52,7,6183583,438881,752092,0.1283723273619585
53,28,8136531,5582305,2554227,0.5222423499760334
54,28,8843593,5700729,2979180,0.503487516283327
55,31,11328667,7745323,3583344,0.5174165034160699
56,31,12468054,7905074,4398353,0.5053628699459238
57,36,16116265,12565228,3551037,0.511934707544529
58,36,17895789,13096704,4768318,0.5093987026430561
59,38,22808663,16489708,6318955,0.5135949605475567
60,38,26338461,17171417,9167044,0.5135603489373539
61,38,35705507,17512997,16593338,0.4940920291628247
62,42,39565579,29651267,9914311,0.5226383506184169
63,42,52270839,30881705,20769711,0.5058402809501306
64,42,58018482,31497685,26489835,0.5098134288439591
65,42,85119386,32114182,30593985,0.4087585851911917
66,42,103750586,33348747,31572938,0.3600575397392406
67,42,158479070,33966828,35932121,0.26994168924625417
68,42,184321292,34585449,35995330,0.23902727033531238
69,46,246879358,91465776,83119615,0.3961677289833607
70,46,283833585,93214840,83833291,0.359156125248325
71,46,429960382,94964468,94295547,0.2694827573920261
72,46,534402221,98465441,98171262,0.23085951244527414
73,46,840094605,100216797,110104448,0.16355136771230513
74,46,990968029,101968742,115389649,0.14483921733914257
75,48,1706681463,186547500,212534815,0.15363651580445314
76,48,2015871696,189783502,215966556,0.13374974902136053
77,50,3159244002,356490919,392896166,0.1556682953152061
78,54,2782556583,987043886,816696638,0.3702395625730364
79,58,3690860208,1918644109,1446786881,0.478190476072096
80,58,4314621684,1990295960,1516188467,0.43995493726236495
81,58,6096654415,2026122854,1667113139,0.35087737969549604
82,58,6945576082,2061950403,1715561330,0.3215685170886842
83,60,10402081737,3038356463,2531124738,0.31746515667521785
84,62,11743820505,4485425700,3420580892,0.3813596492499034
85,62,16748176497,4564595504,3802395386,0.29978836110058066
86,62,19631705715,4722937171,3976796058,0.27102724867651923
87,62,28724124153,4802109045,4425449447,0.20480030139837896
88,62,32639271878,4881281621,4527866562,0.18587576012043552
89,62,51447642613,5039628903,5172357638,0.13202712544449427
90,64,59182390438,7284750944,6966893731,0.15783639782074763
91,64,89619212554,7400832195,7758858607,0.11367175504585053
92,64,108812563203,7632996899,8107047583,0.09804267837877412
93,64,170560086165,7749080365,9041499409,0.06781581474310053
94,64,200018864158,7865164580,9308159654,0.0594092726063438
95,64,346234480530,8097335284,10693803644,0.03797567779742513
96,64,408843236219,8213421785,10949568308,0.0328828035191044
97,66,668399142193,14328884402,18866930360,0.03480804291886117
98,70,691668255491,37991303435,40701282315,0.07795324999890603
99,70,1099119528122,38559023273,45841520387,0.05330432042954616
100,70,1353209366369,39694465349,48100574071,0.045226859974884744
101,70,2208105201341,40262187599,53389728546,0.02980205713647964
102,70,2660928955529,40829910665,55481362411,0.025488946714378836
103,72,4689957794818,76334947460,102725046701,0.026867767422165578
104,72,5616436316666,77403810283,104379089738,0.02282395166621038
105,76,9238095370033,277895719517,323706060725,0.04539215673708288
106,80,7843630075653,587369417136,568871527721,0.09981586935771353
107,80,11861902849977,595998722281,623494054004,0.0707130715800678
108,80,13747486628640,604628028290,641380234120,0.06260892707760649
109,80,22129617877026,621886642925,716240401606,0.04221756044863896
110,84,25775188403056,1617312692584,1570324763373,0.0844410551781782
111,84,39080987794100,1640800399750,1731794286114,0.05970382099143234
112,84,46608236565203,1687775816771,1814159128023,0.0521868808335728
113,84,73097687213376,1711263526637,2002331007031,0.035591615383734496
114,84,85688639899423,1734751237415,2085692974921,0.031304385377168675
115,84,142089286254786,1781726661731,2350935705623,0.020534004889597588
116,86,167969081293490,2935302787207,3578888816969,0.02728602088421256
117,86,270396074069149,2974566272115,3929281254532,0.018048636508406105
118,88,331816081719089,4944367609008,6087763247107,0.02343821921615136
119,90,532775339519326,8816385806058,10560775842859,0.025611027692548617
120,90,648681794842997,9053115523337,11142578413713,0.021964229000252772
121,90,1062078624802070,9171480383431,12193913262753,0.014247689957087301
122,90,1283136708664787,9289845244503,13715979577490,0.012708466331206933
123,92,2195619159637881,17031974528639,23080781951901,0.012947955320228648
124,92,2630774075481373,17249599738212,23619746912982,0.011020785334834866
125,94,4421620945732071,31271665137931,42844046440952,0.011886047843577713
126,94,5511391972246279,32071740765930,44752442273090,0.00989422618686809
127,98,8278267451459598,106882729031688,128288612746419,0.02006108758808529
128,98,9778072887159942,108266065630907,132792231993148,0.017432441609557668
129,98,16471012669828072,111032738832446,148182652463613,0.011163684784602482
130,98,19770715938666508,112416075434779,152901359135916,0.009527279539363177
131,98,33322914758388200,113799412038161,166953752108984,0.005992110919576592
132,100,41935332188631640,221904483312065,300519131004079,0.008847427135175752
133,100,70898250141577328,224610902140390,328368927247989,0.005548412659279437
134,100,86382259074462944,227317320969788,336719138301291,0.0046470160384663815
135,104,153444349443569664,917318744483932,1199749259236331,0.009793796589873642
136,106,136978098443103920,1283237161726000,1526254402936385,0.014524659209191857
137,106,222911168430188864,1298924421978324,1704756425342052,0.009566188958350725
138,106,272215463416555488,1330298942486290,1756348505323923,0.008056039479719113
139,110,434811724732895168,4191725536074142,4941223841289650,0.014871776319279854
140,110,523758514632225152,4294826289898433,5117475904631127,0.012737571708498853
141,110,852433953536410496,4346376666812276,5651496161327445,0.008331706186461679
142,110,1027177344241946624,4397927043727260,5830021036813495,0.007077896091702827
143,112,1744360158907829248,7944259294934914,10323320608718044,0.007442627337328667
144,112,2101415635129871360,8037475768177648,10902315291706984,0.00640870761450398
145,114,3509727938082709504,14592857289529906,18974375073179036,0.006799297294525399
146,114,4303782283859388416,14935611849358096,19867953359376896,0.005752067697744481
