d,betaprime,total cost,preprocessing,single enum,probability
3,2,126,125,1,1.0
4,2,345,343,2,0.5115806393178025
5,2,515,512,3,0.9849122498461097
6,2,1004,1000,4,0.531414034900498
7,2,1735,1728,7,0.9700440157282773
8,2,2751,2744,7,0.53909618554138
9,2,3388,3375,13,0.9553922311963401
10,2,4926,4913,13,0.5153929179824822
11,2,6882,6859,23,0.9409538707767322
12,2,9285,9261,24,0.5224136401430797
13,2,10693,10648,45,0.9267259494496697
14,2,13872,13824,48,0.550133821777281
15,2,17663,17576,87,0.9127055221327641
16,2,22049,21952,97,0.5571972599591045
17,2,24564,24389,175,0.8988896831710534
18,2,29983,29791,192,0.5116063941540697
19,2,36305,35937,368,0.8852755658336039
20,2,43139,42875,264,0.5393604651662117
21,2,47350,46656,694,0.8717971139572991
22,2,55873,54872,1001,0.59200871406172
23,2,65044,64000,1044,0.8549349138181684
24,2,76373,74088,2285,0.5609232233034813
25,2,80825,79507,1318,0.8035074892850023
26,2,94584,91125,3459,0.5500950265133702
27,2,105499,103823,1676,0.6954419618295279
28,2,118964,117649,1315,0.5321393273500331
29,2,127438,125000,2438,0.511347129083668
30,2,143378,140608,2703,0.5098376595204556
31,2,160192,157464,2728,0.5257987967926279
32,2,182172,175616,6556,0.5341001417177785
33,2,191146,185193,5953,0.5151410764195067
34,2,210332,205379,4953,0.5113155761862678
35,2,240261,226981,11144,0.5068835708336248
36,2,262704,250047,12657,0.5299211003314475
37,2,288140,262144,25996,0.522731122470855
38,2,320320,287496,32824,0.5551115110683648
39,2,370103,314432,55671,0.529864969873032
40,2,407456,343000,64456,0.5370073984283863
41,2,452654,357911,94162,0.5095505646433405
42,2,513934,389017,124917,0.5334581956004527
43,3,651052,440059,210993,0.51710353560826
44,3,729784,475222,254561,0.5127804208679326
45,3,1043350,493494,536253,0.5054216741891784
46,3,1196415,531447,662787,0.5093625391185058
47,3,1896762,571320,796397,0.40213023330160463
48,3,2242588,613161,825813,0.3672795364707996
49,3,3603689,634835,959187,0.2706025750124988
50,3,4268243,679718,1008125,0.2457931784934125
51,3,7157143,726689,1183248,0.1733408045501331
52,3,8525611,775796,1243503,0.15545529608977127
53,6,14417821,955069,1656596,0.12121695240246773
54,6,17288008,1010980,1753300,0.10779705210072785
55,7,30545949,1200693,2348906,0.07955219132561159
56,7,36902788,1264087,2408236,0.0685268384749442
57,10,65386346,1876418,3702816,0.05905270227155044
58,10,79405931,1956123,3830594,0.05065732989022592
59,22,139920864,10808833,16321466,0.12917716548225858
60,22,169016120,11097224,16619355,0.11039760739796746
61,22,291856932,11242361,19475532,0.07233069031015694
62,22,357083370,11534550,19889221,0.060845859092901924
63,22,645950124,11829331,23240284,0.0379884773633442
64,22,801904870,12126752,24048559,0.03166816259252784
65,25,1501564817,16777147,35895300,0.024712667591451586
66,29,1765721034,25442304,49108864,0.02966956628232497
67,33,2606140752,37069974,72121954,0.029445664009048026
68,37,2510748464,54298881,90527496,0.040312762211122094
69,41,3379301457,81707180,133209521,0.04435388048693367
70,45,2695821917,176827735,227491195,0.10146363411732763
71,48,4102967143,367787561,447048494,0.13209150403820963
72,48,5286257350,376851665,471101568,0.1081224125670238
73,50,8781912296,700109226,850827379,0.11836904086624166
74,50,11460055655,717280503,889134545,0.09515708893050329
75,54,20320751447,2800129890,2946824954,0.1826958654999988
76,54,26416745926,2869386467,3087331105,0.1485831336218749
77,54,44183443593,2904015949,3550726210,0.09896665104018838
78,56,58808990200,6177387668,6561280194,0.14317309272928302
79,60,79580314006,27547027354,22413810931,0.36099557677917266
80,60,101392733522,28223207761,23797577845,0.3064922817310604
81,60,158157886702,28561299222,26401035321,0.21956218987926504
82,60,204892908408,29237484687,27791415964,0.18008151802875172
83,60,359729977277,29913673584,31826133770,0.11523300841130928
84,60,481516729854,30589865960,34351001471,0.09172454556849795
85,62,819387929626,63897346704,70298849463,0.11026329267783291
86,62,1101474500177,65325813394,72019276231,0.08510780878499714
87,66,1712346319625,315613576630,280024169183,0.21974770621623677
88,70,796622183193,487191806414,309430376779,0.5114951928493275
89,70,1113174260251,492583521860,349831608943,0.4171588912765661
90,71,1366766418791,748210224808,496600683324,0.47779666118998343
91,71,2052393609747,764622243165,553498146342,0.3675402803343232
92,71,2529070999874,781034265338,582026015588,0.3191851220977468
93,71,3782092834644,789240277871,647742292482,0.23740854616372092
94,71,4778749056070,805652305858,684078226471,0.19938907531374161
95,71,7885304860965,822064337781,780580523154,0.13496424949048866
96,72,10216163948654,1068034673823,996239113403,0.13423275614709265
97,75,16061402953806,3954500058782,3032115256180,0.26677523224879507
98,75,20055982279656,4035783237973,3195241557439,0.22678074184699099
99,75,32607592679029,4117066421269,3691097372907,0.15702473469129594
100,75,42054147198796,4198349608717,3886846430736,0.12815739598001472
101,76,66624835514926,5470382088730,5224361084642,0.10819542599059688
102,76,87423583543280,5576049260411,5640304942188,0.08745879963870443
103,76,154707095501285,5681716436364,6378515896222,0.054091443752683745
104,76,207757934171698,5787383616637,6774377329242,0.04221465654811747
105,79,213375440877172,17104884388987,16247648318230,0.10551139134808526
106,80,272978864034192,22047438785694,20435744660743,0.1050767258570082
107,80,471550960784408,22453009927361,23620565809549,0.06732538776570433
108,80,619143076355701,22858581073517,24731164332381,0.05335473809821456
109,80,1039376910284043,23061366648293,27629144730529,0.034191922743100255
110,80,1408635882975418,23466937801271,29318731532870,0.026377169365055533
111,82,2704465980888679,47377078789337,58765655119815,0.027608706417119648
112,82,3699811422843542,48196650651121,60574708279000,0.02075350880591222
