k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.3,100,0.0,32.658892067727045,6781193507.468564,0.0007014577775920058,-10.477356112328469,32,704097932.4310722,16423525.229562074,0.10625289735016082,"Strategy< 50, (32,32,32,32), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 6781193507.468564}>"
52,1.3,100,0.0,27.28103765057354,163083733.64998436,0.057530843050897375,-4.119520578296927,38,57094522.77884289,28338874.20326937,0.523862160069699,"Strategy< 52, (38,38,38,38), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 163083733.64998436}>"
54,1.3,102,0.0,27.770066561238057,228887995.87433523,0.08515833924041741,-3.5537083751768255,46,40299594.94317864,188588400.9311566,2.613989872250321,"Strategy< 54, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 228887995.87433523}>"
56,1.3,104,0.0,28.15971509675633,299860260.1757249,0.08463865250403771,-3.5625395306736523,46,36973633.20547177,194766704.1892297,0.7728277740401358,"Strategy< 56, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 299860260.1757249}>"
58,1.3,106,0.0,28.317997846295558,334631460.48573196,0.10081096428496408,-3.3102755387943996,48,51985803.65954626,267052425.84727535,0.9534017783137423,"Strategy< 58, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 334631460.48573196}>"
60,1.3,108,0.0,29.358404671725975,688272521.255921,0.06492348192917757,-3.9451158142380374,44,583215619.2539883,105056902.00193277,1.0656011213731587,"Strategy< 60, (44,44,44,44), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 688272521.255921}>"
62,1.3,110,0.0,30.092780048768134,1145063173.753219,0.05153480428290195,-4.2783090971472735,46,931746391.7897699,213316781.96344897,1.4623534268059957,"Strategy< 62, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 1145063173.753219}>"
64,1.3,112,0.0,29.665812982947035,851725311.2282517,0.09523562188863255,-3.3923548902998255,46,632219954.0067296,219505357.22152206,1.4488341673454708,"Strategy< 64, (46,46,46,46), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 851725311.2282517}>"
66,1.3,114,0.0,30.20816769959606,1240408094.4630744,0.09366930497130381,-3.416279829410589,48,237920095.3193851,300633138.7884181,0.4341742338765715,"Strategy< 66, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 1240408094.4630744}>"
68,1.3,116,0.0,31.349850407112402,2736814310.8695645,0.06340301520482085,-3.9793047387222584,48,414214550.44193614,309035037.0237039,0.2642669561442928,"Strategy< 68, (48,48,48,48), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 2736814310.8695645}>"
70,1.3,118,0.0,32.596979318774224,6496336954.786902,0.04165513609226267,-4.585361798433559,54,1284105291.2846758,5212231663.502227,1.2224273550405889,"Strategy< 70, (54,54,54,54), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 6496336954.786902}>"
72,1.3,120,0.0,33.148624243661246,9522044622.254307,0.0456182909488727,-4.45424379147566,50,5403050264.090733,1382265233.7343109,0.7125901806810317,"Strategy< 72, (50,50,50,50), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 9522044622.254307}>"
74,1.3,122,0.0,33.4945322460814,12102048715.476196,0.05865304878549526,-4.0916500882831475,58,2185974267.330184,9274504038.03523,0.9469866280334553,"Strategy< 74, (58,58,58,58), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 12102048715.476196}>"
76,1.3,124,0.0,33.85950122263413,15585671065.10387,0.07719653743977907,-3.6953200512255355,60,3194062709.4169183,12391608355.686953,1.0991782974844344,"Strategy< 76, (60,60,60,60), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 15585671065.10387}>"
78,1.3,126,0.0,34.284467083407186,20924398258.843464,0.10168718557562421,-3.297790209903526,62,4450570694.133838,16473827564.709627,1.1232555592973839,"Strategy< 78, (62,62,62,62), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 20924398258.843464}>"
80,1.3,128,0.0,34.766227949590885,29219814123.23937,0.13107561843623397,-2.9315287421455642,64,6526769313.155259,22693044810.08411,1.181200871299982,"Strategy< 80, (64,64,64,64), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 29219814123.23937}>"
82,1.3,130,0.0,35.30036333167929,42312454661.17659,0.14843701830350248,-2.7520771682727987,66,9851263942.581377,32461190718.595215,1.252339044112284,"Strategy< 82, (66,66,66,66), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 42312454661.17659}>"
84,1.3,132,0.0,35.904255350036685,64306938202.34507,0.16663289344258664,-2.5852548771230084,68,16009269231.355177,48297668970.98989,1.377371206441965,"Strategy< 84, (68,68,68,68), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 64306938202.34507}>"
86,1.3,134,0.0,36.56258766290852,101492886834.16048,0.1870309055342166,-2.4186514099248106,70,26565218139.369488,74927668694.79099,1.5265625081974588,"Strategy< 86, (70,70,70,70), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 101492886834.16048}>"
88,1.3,138,0.0,37.85895489456241,249276321771.9289,0.13732211449422752,-2.8643641176029933,72,45098549305.73422,123148908812.3215,0.674943600427444,"Strategy< 88, (72,72,72,72), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 249276321771.9289}>"
90,1.3,140,0.0,38.42573924929854,369232669002.5686,0.17629377850847402,-2.503946532726989,74,78808144658.78873,200442690613.87878,0.7563004542014804,"Strategy< 90, (74,74,74,74), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 369232669002.5686}>"
92,1.3,142,0.0,39.00538865204688,551813062409.224,0.2237278653704356,-2.1601831392140745,76,145833617421.08444,338335913029.9977,0.8774158559008929,"Strategy< 92, (76,76,76,76), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 551813062409.224}>"
94,1.3,144,0.0,39.785903987501506,947873768709.1306,0.25869577708919966,-1.950671591008485,74,736073683251.8396,211800085457.29102,1.1254273098579264,"Strategy< 94, (74,74,74,74), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 947873768709.1306}>"
96,1.3,146,0.0,40.468864769308425,1521746060175.1636,0.33394428171359125,-1.5823206844070594,80,452768115899.911,1068977944275.2527,1.0110019355967048,"Strategy< 96, (80,80,80,80), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 1521746060175.1636}>"
98,1.3,148,0.0,41.23479797615197,2587682900301.3086,0.42392882053040765,-1.2381060444582748,82,831269305458.934,1756413594842.3748,1.135190520596307,"Strategy< 98, (82,82,82,82), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 2587682900301.3086}>"
100,1.3,150,0.0,41.98765686558672,4360579052597.8887,0.5824690334525666,-0.779746742926383,84,1365361805837.1643,2995217246760.724,1.154796688311799,"Strategy<100, (84,84,84,84), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 4360579052597.8887}>"
102,1.3,152,0.0,42.8454719989046,7902640940484.26,0.6183215660671036,-0.693570769516329,86,2606234713992.591,5296406226491.669,1.2974747878450437,"Strategy<102, (86,86,86,86), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 7902640940484.26}>"
104,1.3,154,0.0,43.5377862819299,12769668280166.121,0.7069515329228176,-0.500316784532653,84,9603000337243.951,3166667942922.1694,1.3615671838847827,"Strategy<104, (84,84,84,84), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 12769668280166.121}>"
106,1.3,158,0.0,45.178954174434345,39830923809173.83,0.4316235267452476,-1.2121545901317878,88,29748269793811.227,10082654015362.604,1.549948514956837,"Strategy<106, (88,88,88,88), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 39830923809173.83}>"
108,1.3,160,0.0,45.96736639133197,68794878102895.36,0.4945535476058397,-1.0158013581638812,92,19246001939787.008,35229448260676.14,0.7918532847603149,"Strategy<108, (92,92,92,92), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 68794878102895.36}>"
110,1.3,162,0.0,46.65987514999514,111178808161715.03,0.6097897650186627,-0.7136161591686572,90,63678064922303.89,19642135812468.32,0.749425201730701,"Strategy<110, (90,90,90,90), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 111178808161715.03}>"
112,1.3,164,0.0,47.550256586184354,206088393556080.78,0.6528263001501649,-0.6152289151332416,92,114403729288725.7,37204743912201.56,0.7356477993976481,"Strategy<112, (92,92,92,92), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 206088393556080.78}>"
114,1.3,166,0.0,48.228952437332254,329884069227790.8,0.8208613256984584,-0.2847895776655292,94,223409709484040.7,73744846675407.06,0.9007848025369702,"Strategy<114, (94,94,94,94), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 329884069227790.8}>"
116,1.3,168,0.0,49.10508211605122,605483979277640.0,0.9332888429702478,-0.09960444593240414,96,452990948385061.9,152493030892578.12,1.1004707443905466,"Strategy<116, (96,96,96,96), 1.00-1.00, {'alpha': 1.3, 'c': 0.0, 'total_cost': 605483979277640.0}>"
