k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
288,1.3,366,0.15,131.75729245424208,4.601476158795275e+39,5275.011824878597,12.364958612543445,268,2.3493147362550166e+39,1.139246794718377e+39,0.7581396514041145,"Strategy<288, (268,268,268,268), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4.601476158795275e+39}>"
290,1.3,368,0.15,133.39025664561325,1.427145917949922e+40,4238.948586430652,12.04949075293022,268,3.08918285642914e+39,1.1862595482609388e+39,0.29957990636526516,"Strategy<290, (268,268,268,268), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.427145917949922e+40}>"
292,1.3,370,0.15,134.33970606894235,2.7560121981544246e+40,5462.641556629315,12.415383045161095,270,1.2173824045747988e+40,5.275793065208421e+39,0.6331473105467972,"Strategy<292, (270,270,270,270), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.7560121981544246e+40}>"
294,1.3,372,0.15,135.05183977541853,4.514968680158866e+40,6641.614414847295,12.697318252920494,272,2.1746605510818804e+40,1.013450673222805e+40,0.7061203410590452,"Strategy<294, (272,272,272,272), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4.514968680158866e+40}>"
296,1.3,374,0.15,135.8646694720284,7.931235803098713e+40,9935.169583519804,13.278328877724853,274,4.921348927724185e+40,2.260450247862015e+40,0.9055082150981175,"Strategy<296, (274,274,274,274), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 7.931235803098713e+40}>"
298,1.3,376,0.15,136.6201564390956,1.3389522841830912e+41,14897.313258200342,13.862764542546772,276,8.91475843320296e+40,4.1325101061258123e+40,0.9744386482964961,"Strategy<298, (276,276,276,276), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.3389522841830912e+41}>"
300,1.3,378,0.15,138.04120303730767,3.585442414881404e+41,14791.200959643065,13.85245157520348,278,2.5195868671303146e+41,1.0658555477510896e+41,1.3460525756909172,"Strategy<300, (278,278,278,278), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.585442414881404e+41}>"
302,1.3,382,0.15,139.60111967887886,1.057120394704385e+42,11237.226918477741,13.455998436054916,282,7.198804644334138e+41,3.3723993027097113e+41,1.2776479205640878,"Strategy<302, (282,282,282,282), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.057120394704385e+42}>"
304,1.3,384,0.15,141.02432542617697,2.834993526548958e+42,10170.086674820239,13.312044354202138,284,1.9730696818275326e+42,8.619238447214257e+41,1.9677503175416673,"Strategy<304, (284,284,284,284), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.834993526548958e+42}>"
306,1.3,386,0.15,141.98189717669385,5.505666380133256e+42,13216.452676169396,13.690047385953374,286,3.755933999093941e+42,1.7497323810393154e+42,1.5094144740284168,"Strategy<306, (286,286,286,286), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 5.505666380133256e+42}>"
308,1.3,388,0.15,142.91212447709623,1.0491466824551543e+43,13926.971761051105,13.765593976307574,286,3.7992676593931083e+42,1.8231582512149893e+42,0.5359046551480114,"Strategy<308, (286,286,286,286), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.0491466824551543e+43}>"
310,1.3,390,0.15,143.71765722066718,1.833689212134738e+43,19941.234067104426,14.28346707350827,288,8.482536949092017e+42,4.005975580990445e+42,0.6810593882233527,"Strategy<310, (288,288,288,288), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.833689212134738e+43}>"
312,1.3,392,0.15,144.61088719533103,3.405765527898657e+43,27149.513857498827,14.728638744737287,290,1.9107637177034103e+43,9.005820377697775e+42,0.8254666190152486,"Strategy<312, (290,290,290,290), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.405765527898657e+43}>"
314,1.3,394,0.15,145.5503719080087,6.5317239872589e+43,30800.06390051774,14.910645723614575,292,3.8099230019647556e+43,1.7014365888462243e+43,0.8437832954303806,"Strategy<314, (292,292,292,292), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.5317239872589e+43}>"
316,1.3,396,0.15,146.35922982857173,1.1442431486061285e+44,42384.10153516531,15.371235584487593,294,7.500316771794632e+43,3.341284483377691e+43,0.9474910353082849,"Strategy<316, (294,294,294,294), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.1442431486061285e+44}>"
318,1.3,400,0.15,149.04511921641387,7.362945594652396e+44,17035.628139457098,14.056267523166424,296,3.642104385009652e+44,1.598029775294496e+44,0.7116899198752717,"Strategy<318, (296,296,296,296), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 7.362945594652396e+44}>"
320,1.3,402,0.15,150.01123529621907,1.438406082174382e+45,22057.907068318676,14.429008289000885,298,8.24916610974886e+44,3.099966835872948e+44,0.7890075748613192,"Strategy<320, (298,298,298,298), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.438406082174382e+45}>"
322,1.3,404,0.15,150.89159511215576,2.6478673368729726e+45,25163.494115782913,14.619044643321187,300,1.7151984969949102e+45,6.769631021062141e+44,0.9034295509404838,"Strategy<322, (300,300,300,300), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.6478673368729726e+45}>"
324,1.3,406,0.15,151.81192163610874,5.0112043364426967e+45,36113.882631578395,15.140265913439011,302,3.079865921417985e+45,1.3909487859901999e+45,0.8921637209832641,"Strategy<324, (302,302,302,302), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 5.0112043364426967e+45}>"
326,1.3,408,0.15,152.49650464462948,8.054194848834155e+45,62504.91583445419,15.931682037661721,304,5.3786216853115964e+45,2.4114977076567383e+45,0.9672126809914408,"Strategy<326, (304,304,304,304), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 8.054194848834155e+45}>"
328,1.3,410,0.15,153.55660001979768,1.679355489101469e+46,66059.97968099621,16.011488905422805,306,1.1262641857092988e+46,5.5309130339217006e+45,1.102223512511902,"Strategy<328, (306,306,306,306), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.679355489101469e+46}>"
330,1.3,412,0.15,154.8069374153699,3.995137205194707e+46,65845.90001960001,16.006805991549232,308,2.7849325828434733e+46,1.2102046223512335e+46,1.4326761673371784,"Strategy<330, (308,308,308,308), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.995137205194707e+46}>"
332,1.3,416,0.15,156.98811834963095,1.8118931624053556e+47,36844.82639803957,15.169174435670477,310,7.184041709007984e+46,3.0730550497407374e+46,0.5660983203409214,"Strategy<332, (310,310,310,310), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.8118931624053556e+47}>"
334,1.3,418,0.15,157.99244618137493,3.6346733687897414e+47,38292.90925182808,15.224789650699762,312,1.6074527514568672e+47,7.130393489115576e+46,0.6384320858908685,"Strategy<334, (312,312,312,312), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.6346733687897414e+47}>"
336,1.3,420,0.15,158.87288692594154,6.691206953251414e+47,55176.69541472635,15.75177143443656,314,3.68669493849885e+47,1.4868970800256412e+47,0.7731926474057901,"Strategy<336, (314,314,314,314), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.691206953251414e+47}>"
338,1.3,422,0.15,159.67123763710268,1.1636757217807626e+48,83703.92260859926,16.35300761278349,316,8.311335520721519e+47,3.325421697086106e+47,1.3168325823179072,"Strategy<338, (316,316,316,316), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.1636757217807626e+48}>"
340,1.3,424,0.15,160.55121544298134,2.141567111351575e+48,122258.73652762189,16.89957803732166,318,1.3154101310654666e+48,6.099659770000101e+47,0.8990500918041944,"Strategy<340, (318,318,318,318), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.141567111351575e+48}>"
342,1.3,426,0.15,161.6763201463525,4.671129984141187e+48,120292.93367945158,16.8761923717718,320,3.350248549337173e+48,1.3208814348040141e+48,1.1215332009437933,"Strategy<342, (320,320,320,320), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4.671129984141187e+48}>"
344,1.3,428,0.15,162.6324148285354,9.062231048563807e+48,156908.14309366987,17.259560700522336,322,6.25196607182372e+48,2.8102649767400867e+48,1.6549337740657095,"Strategy<344, (322,322,322,322), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 9.062231048563807e+48}>"
346,1.3,432,0.15,165.4391966685037,6.341042379894933e+49,56346.122989056865,15.782028725760833,324,3.967277332966388e+49,1.419473179993478e+49,0.8495055213696775,"Strategy<346, (324,324,324,324), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.341042379894933e+49}>"
348,1.3,434,0.15,165.98549202390618,9.260020417021762e+49,77931.03748968065,16.249910402502582,326,6.376882430118572e+49,2.88313798690319e+49,1.027766443931103,"Strategy<348, (326,326,326,326), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 9.260020417021762e+49}>"
350,1.3,436,0.15,166.8332270608614,1.6665011540271593e+50,107873.10692349225,16.718975716056068,328,1.1532807180243964e+50,5.132204360027627e+49,1.0750094403096166,"Strategy<350, (328,328,328,328), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.6665011540271593e+50}>"
352,1.3,438,0.15,167.9876320985191,3.7095067204336494e+50,137016.83262627994,17.063993614737377,330,2.6128999264544955e+50,1.096606793979154e+50,1.092361454568422,"Strategy<352, (330,330,330,330), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.7095067204336494e+50}>"
354,1.3,440,0.15,169.23876520823066,8.82967577906765e+50,143352.19315357224,17.129204451059746,332,6.18599519730766e+50,2.64368058175999e+50,1.458545111627798,"Strategy<354, (332,332,332,332), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 8.82967577906765e+50}>"
356,1.3,442,0.15,170.16471127087715,1.6775763542331665e+51,203987.07961052208,17.638118250299556,334,1.1549902041902195e+51,5.225861500429469e+50,1.8740830780928646,"Strategy<356, (334,334,334,334), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.6775763542331665e+51}>"
358,1.3,444,0.15,171.25867831164044,3.5809576886708895e+51,247490.3219079932,17.91701258424182,336,2.6951742487641377e+51,8.857834399067516e+50,1.4781936623919532,"Strategy<358, (336,336,336,336), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.5809576886708895e+51}>"
360,1.3,448,0.15,173.05079733810462,1.240168717507505e+52,182712.83117283345,17.479218426516105,338,5.886300746676594e+51,2.3149941034787452e+51,0.6613047671963801,"Strategy<360, (338,338,338,338), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.240168717507505e+52}>"
362,1.3,450,0.15,174.023983318034,2.434663492816047e+52,197323.70472364058,17.590204753524112,340,1.5531568221054145e+52,6.195427293004579e+51,0.8924024029673298,"Strategy<362, (340,340,340,340), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.434663492816047e+52}>"
364,1.3,452,0.15,175.3672625481954,6.177407975866136e+52,194804.55274794713,17.571667869260214,342,3.447953752005981e+52,1.293700761054454e+52,0.7675799512651756,"Strategy<364, (342,342,342,342), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.177407975866136e+52}>"
366,1.3,454,0.15,176.0075975187339,9.628670340377061e+52,332117.47343020694,18.34133410263109,344,6.997286233136832e+52,2.6313841072402295e+52,1.0696456988010687,"Strategy<366, (344,344,344,344), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 9.628670340377061e+52}>"
368,1.3,456,0.15,177.02856174439498,1.9539217817820924e+53,339790.6267759899,18.37428653034238,346,1.3506702159286927e+53,6.032515658533999e+52,1.324622609630456,"Strategy<368, (346,346,346,346), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.9539217817820924e+53}>"
370,1.3,458,0.15,178.5068289790985,5.443897675999403e+53,338638.8584672818,18.369388004969405,348,4.387974918326966e+53,1.055922757672437e+53,1.0465121364012666,"Strategy<370, (348,348,348,348), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 5.443897675999403e+53}>"
372,1.3,460,0.15,179.83256579380685,1.3645721430130304e+54,352425.8534765348,18.42696023670383,348,1.1002899069866687e+54,1.082599302758468e+53,0.885662105481641,"Strategy<372, (348,348,348,348), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.3645721430130304e+54}>"
374,1.3,464,0.15,181.5249112110504,4.4100471704800375e+54,247901.4064111326,17.91940693068037,352,3.1366637861604434e+54,1.2733833843195943e+54,1.0597231666826528,"Strategy<374, (352,352,352,352), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4.4100471704800375e+54}>"
376,1.3,466,0.15,182.78606317500342,1.0570311965945813e+55,271315.96634552814,18.049614423972308,354,7.704807688297274e+54,2.8655042776485386e+54,1.0939814265119132,"Strategy<376, (354,354,354,354), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.0570311965945813e+55}>"
378,1.3,468,0.15,184.18432781043234,2.7861686558927067e+55,273883.1743766011,18.063201113283867,356,2.1232536706706512e+55,6.629149852220552e+54,1.657168482083743,"Strategy<378, (356,356,356,356), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.7861686558927067e+55}>"
380,1.3,470,0.15,185.17802579390028,5.548049175324885e+55,394098.3922280733,18.58819633827613,358,4.2609206607669014e+55,1.2871285145579837e+55,1.8747209390947794,"Strategy<380, (358,358,358,358), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 5.548049175324885e+55}>"
382,1.3,472,0.15,185.5890437322085,7.376817342002349e+55,693572.9162792665,19.4036880374826,360,4.982417204122807e+55,2.394400137879542e+55,1.122473642777022,"Strategy<382, (360,360,360,360), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 7.376817342002349e+55}>"
384,1.3,474,0.15,186.95890172189104,1.9065024806071925e+56,844112.1332920582,19.687075136163962,362,1.3005898343007148e+56,6.059126463064777e+55,1.8985031273401625,"Strategy<384, (362,362,362,362), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.9065024806071925e+56}>"
386,1.3,476,0.15,187.869668453211,3.5843093064378113e+56,1333763.082405162,20.34707099132307,362,1.5444960559697755e+56,6.210238010721096e+55,0.6041665693170996,"Strategy<386, (362,362,362,362), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.5843093064378113e+56}>"
388,1.3,478,0.15,189.04172939134835,8.076644714012649e+56,1371690.2064165508,20.38752325773523,364,3.855351131107791e+56,1.7730400115153123e+56,0.6968724441794591,"Strategy<388, (364,364,364,364), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 8.076644714012649e+56}>"
390,1.3,482,0.15,190.95303845301706,3.038031954548997e+57,1138544.9681954116,20.118759842890352,372,2.240991448437802e+57,7.97040506111195e+56,1.3578523795101036,"Strategy<390, (372,372,372,372), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.038031954548997e+57}>"
392,1.3,484,0.15,192.01419978565445,6.339189418094706e+57,1575713.5304176454,20.58757384154734,374,4.65121955885208e+57,1.6879698592426268e+57,1.7386604713075042,"Strategy<392, (374,374,374,374), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.339189418094706e+57}>"
394,1.3,486,0.15,192.96560940053976,1.2258478258774908e+58,1811949.830015248,20.789111579349473,374,4.4056901126374595e+57,1.740168032189649e+57,0.5013557160268044,"Strategy<394, (374,374,374,374), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.2258478258774908e+58}>"
396,1.3,488,0.15,194.20866745899158,2.9015784901208457e+58,2364736.202596593,21.173247822473368,376,1.8491750247139544e+58,6.705908087398385e+57,0.8684120874320546,"Strategy<396, (376,376,376,376), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.9015784901208457e+58}>"
398,1.3,490,0.15,195.3627385471723,6.457201481839469e+58,2699002.2184343715,21.363994731947002,378,4.5565543675745364e+58,1.3692266782564097e+58,0.9177011221497248,"Strategy<398, (378,378,378,378), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.457201481839469e+58}>"
400,1.3,492,0.15,196.26725201340653,1.2087320077776464e+59,3765399.239655304,21.844371409130954,380,8.786190039004682e+58,3.301130038771781e+58,1.252763163796921,"Strategy<400, (380,380,380,380), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.2087320077776464e+59}>"
402,1.3,494,0.15,197.57319003199996,2.9885225602244193e+59,3327317.5294426167,21.665928120033414,382,2.191306230437998e+59,7.972163297864211e+58,2.097455134786265,"Strategy<402, (382,382,382,382), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.9885225602244193e+59}>"
404,1.3,498,0.15,199.53116683525712,1.1610910762852619e+60,2610160.604753113,21.31570714874473,386,8.635187137773385e+59,2.975723625079234e+59,1.258165793353338,"Strategy<404, (386,386,386,386), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.1610910762852619e+60}>"
406,1.3,500,0.15,200.5942487287434,2.4259722290195483e+60,3530033.518974938,21.75125045180911,388,1.7345429550741867e+60,6.914292739453615e+59,1.6865213425499042,"Strategy<406, (388,388,388,388), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.4259722290195483e+60}>"
408,1.3,502,0.15,201.35521087329542,4.1111020375996936e+60,3672527.8734577396,21.808342009798487,390,2.8132346891994587e+60,1.2978673484002349e+60,1.5644243679061183,"Strategy<408, (390,390,390,390), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 4.1111020375996936e+60}>"
410,1.3,504,0.15,202.68818351255914,1.0356738336783442e+61,4597166.754213643,22.132313567676803,390,3.1449281360503498e+60,1.3404543252711087e+60,0.4330883252491742,"Strategy<410, (390,390,390,390), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.0356738336783442e+61}>"
412,1.3,506,0.15,203.85261364489295,2.3214075982894362e+61,6015969.645442401,22.520365857004585,392,1.1629698927435503e+61,4.419039411370124e+60,0.6913365128395108,"Strategy<412, (392,392,392,392), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.3214075982894362e+61}>"
414,1.3,508,0.15,204.53490672554491,3.7251355866362616e+61,5464062.170448964,22.381542468122042,394,2.708076831649705e+61,1.0170587549865562e+61,1.2666829380576436,"Strategy<414, (394,394,394,394), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.7251355866362616e+61}>"
416,1.3,510,0.15,206.11700989690246,1.1153279752368386e+62,4967150.28988215,22.243986968039625,394,2.7268196097607415e+61,1.0494359483438373e+61,0.33857803641145967,"Strategy<416, (394,394,394,394), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.1153279752368386e+62}>"
418,1.3,514,0.15,208.59842024006886,6.228472343575123e+62,2309895.6798818,21.13939626706263,398,3.20239906145966e+62,9.486435317745138e+61,0.6664623946698764,"Strategy<418, (398,398,398,398), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 6.228472343575123e+62}>"
420,1.3,516,0.15,209.16240861832293,9.207865341971043e+62,4437002.058199974,22.081153791707962,400,5.340942331800179e+62,2.15763490040005e+62,0.8143665175054654,"Strategy<420, (400,400,400,400), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 9.207865341971043e+62}>"
422,1.3,518,0.15,210.44679605558983,2.2428390248658656e+63,3848991.1710606217,21.876048931176573,402,1.1350896009541188e+63,3.929114018252091e+62,0.6812798358859976,"Strategy<422, (402,402,402,402), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 2.2428390248658656e+63}>"
424,1.3,520,0.15,211.22293789812102,3.840962610667905e+63,6760072.216526399,22.688607227942285,404,2.3150688965506145e+63,8.08243577302924e+62,0.8131587808688473,"Strategy<424, (404,404,404,404), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.840962610667905e+63}>"
426,1.3,522,0.15,212.12116888107556,7.158706357864036e+63,9021012.637246545,23.10485795898376,406,5.041236198709878e+63,2.117470159154158e+63,1.1811793614970205,"Strategy<426, (406,406,406,406), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 7.158706357864036e+63}>"
428,1.3,524,0.15,213.54234159175903,1.9171238207552515e+64,7386223.104835891,22.81640540990441,408,1.0045302004060134e+64,4.309571430358454e+63,0.7487713249926382,"Strategy<428, (408,408,408,408), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 1.9171238207552515e+64}>"
430,1.3,526,0.15,214.51985665974604,3.7749527505333344e+64,10517465.496263783,23.3262837494016,410,2.634977762443071e+64,1.0812148939673979e+64,0.9844342173250874,"Strategy<430, (410,410,410,410), 1.00-1.00, {'alpha': 1.3, 'c': 0.15, 'total_cost': 3.7749527505333344e+64}>"
