k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.1,74,0.0,24.084461706598656,17788748.830439895,0.26740053347825077,-1.9029257512000792,36,4640206.475961788,13148542.354478106,1.2029867424558376,"Strategy< 50, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 17788748.830439895}>"
52,1.1,74,0.0,24.084461706598656,17788748.830439895,0.5274313991502676,-0.9229446343220411,36,4640206.475961788,13148542.354478106,1.2029867424558376,"Strategy< 52, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 17788748.830439895}>"
54,1.1,76,0.0,24.64765497921857,26283516.62222818,0.7415948893323352,-0.4312967931573348,38,7026653.792735542,19256862.829492636,1.3514992588114607,"Strategy< 54, (38,38,38,38), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 26283516.62222818}>"
56,1.1,78,0.0,24.980515068652306,33104294.95146937,0.766660893941105,-0.38333950256962934,36,19038149.523187302,14066145.428282067,1.039555517091803,"Strategy< 56, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 33104294.95146937}>"
58,1.1,80,0.0,25.482623966265283,46885028.25526352,0.719515834094977,-0.4749016587641219,36,28225638.680984,14527730.965184048,0.9118768024069255,"Strategy< 58, (36,36,36,36), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 46885028.25526352}>"
60,1.1,82,0.0,26.028850877025747,68464409.48351309,0.6526755862382612,-0.6155620195378073,38,46964907.810576275,21499501.67293682,1.1468292406730494,"Strategy< 60, (38,38,38,38), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 68464409.48351309}>"
62,1.1,84,0.0,26.553739091687643,98508104.77407962,0.5990431618420307,-0.7392681400667831,40,65802543.93392213,22444061.698324136,0.895830914975298,"Strategy< 62, (40,40,40,40), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 98508104.77407962}>"
64,1.1,86,0.0,27.356020596759627,171784019.98786378,0.47218937884235246,-1.08256250411242,42,80661088.10116774,58640771.730203316,0.8109127952717166,"Strategy< 64, (42,42,42,42), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 171784019.98786378}>"
66,1.1,86,0.0,27.356020596759627,171784019.98786378,0.6763618880111434,-0.564132726574158,42,80661088.10116774,58640771.730203316,0.8109127952717166,"Strategy< 66, (42,42,42,42), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 171784019.98786378}>"
68,1.1,88,0.0,27.682063687003563,215343373.19304383,0.805793448815724,-0.31151801861341866,46,69937239.06839886,145406134.12464496,1.0058515472904674,"Strategy< 68, (46,46,46,46), 1.00-1.00, {'alpha': 1.1, 'c': 0.0, 'total_cost': 215343373.19304383}>"
