i,gsa,simulator,lll,tour0,tour1,tour2,tour3,tour4,tour5,tour6,tour7
0.0,12.763440127299464,12.784974715794913,15.38300008530986,14.716520913405502,14.121568306118666,13.570492631369385,13.26381052148123,13.0619960417895,13.017305365717995,12.873572882846009,12.864199509561436
1.0,12.730675369145413,12.75207903989756,15.306010212528179,14.68070001763198,14.064819492364537,13.579985593054884,13.260457123475689,13.043450372169827,12.977214605607434,12.916685993453257,12.86072294898726
2.0,12.697910610991359,12.719174295876194,15.35696131914677,14.638657369420766,14.081377410281775,13.482901761042703,13.175170840695168,12.991189266345172,12.894774186556853,12.862691221049255,12.849237252508647
3.0,12.665145852837306,12.68626223203125,15.37706334505626,14.569806181618281,13.979650280546322,13.411198506823089,13.166116657397536,12.950444697382197,12.902690361114042,12.78863348458763,12.825619110196897
4.0,12.632381094683252,12.653344465866772,15.213931863385566,14.554093446914068,13.961414997003708,13.451342346945655,13.174102484120334,12.990971190932827,12.819610332674463,12.826565143285267,12.767799637869674
5.0,12.5996163365292,12.6204224863246,15.318327104081586,14.50530054526982,13.94528489448352,13.447989808876446,13.13784110097097,12.897340530161955,12.817740168727815,12.765661362441657,12.673868076567514
6.0,12.566851578375145,12.587497655927434,15.296191248290674,14.465445814158905,13.864620731943884,13.338245442872253,13.079881906716489,12.860581239544706,12.778483974997636,12.708692362616551,12.740229098369333
7.0,12.534086820221093,12.554571212831133,15.216340287290457,14.3565848353393,13.768355823704928,13.39169232696982,12.975952202267074,12.768456402484391,12.779810035680116,12.682542524364255,12.64454088070826
8.0,12.501322062067038,12.52164427278671,15.073218678631859,14.313586646405854,13.762210294089302,13.312536928931468,12.975893002063327,12.78566667106346,12.656060067062947,12.690713740521636,12.63171794745665
9.0,12.468557303912986,12.488717831012332,15.001675742409411,14.224695684846283,13.653155247984381,13.281970515778866,12.923450979377716,12.739416626811526,12.68645432486066,12.626410285215194,12.608308053364098
10.0,12.43579254575893,12.455792763975689,14.83266393223187,14.161485056764025,13.534267294998568,13.25453292109214,12.915040699151957,12.712472050773304,12.67260028717804,12.516880816186491,12.549755953697442
11.0,12.403027787604879,12.422869831087105,14.956426793908985,14.102391395978987,13.591162943928724,13.19491971107234,12.858934071659505,12.718997508120873,12.613727201016227,12.578407414235167,12.540658887007861
12.0,12.370263029450827,12.389949676303665,14.81625355720606,14.109156025591307,13.521154333302093,13.101322180809259,12.789325383340136,12.628216717054045,12.52860988153175,12.525874913488629,12.53825231528282
13.0,12.337498271296772,12.35703282964481,14.733374072055502,13.992452819877226,13.534239795100202,13.09342338710135,12.813678659925642,12.62577829767182,12.518695100656194,12.499024566007702,12.48696552218913
