k,alpha,k alpha,c,log(total cost),total cost,speedup,log(speedup),k pre,single enum,preprocessing cost,solutions,strategy
50,1.2,88,0.15,26.41463741160497,89453674.63212013,0.0671052685975319,-3.8974301494127803,40,14602824.609237207,29323228.388501696,0.4910480556375756,"Strategy< 50, (40,40,40,40), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 89453674.63212013}>"
52,1.2,90,0.15,26.015242807127795,67821662.19913223,0.17127365472006256,-2.5456248414676335,38,32573813.877003446,29883902.765565492,0.9209110277950115,"Strategy< 52, (38,38,38,38), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 67821662.19913223}>"
54,1.2,90,0.15,26.015242807127795,67821662.19913223,0.35556470494600195,-1.4918159724254407,38,32573813.877003446,29883902.765565492,0.9209110277950115,"Strategy< 54, (38,38,38,38), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 67821662.19913223}>"
56,1.2,92,0.15,26.946492840312818,129330996.21344745,0.24639153472323816,-2.0209754046930204,40,51438518.16558294,30877628.097430043,0.6364765498841336,"Strategy< 56, (40,40,40,40), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 129330996.21344745}>"
58,1.2,94,0.15,27.719169585588645,220953812.78426233,0.1780161825492506,-2.489919699637457,44,114406778.39448732,106547034.38977501,1.2005795456082424,"Strategy< 58, (44,44,44,44), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 220953812.78426233}>"
60,1.2,96,0.15,27.943018821576647,258039882.04504603,0.19058151041123736,-2.391519934358954,46,41629145.45256051,216410736.59248552,1.219456483217325,"Strategy< 60, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 258039882.04504603}>"
62,1.2,98,0.15,28.40776850544932,356115133.61144996,0.18207080415324953,-2.4574284964620134,48,59681914.94067473,296433218.67077523,1.3607003548869907,"Strategy< 62, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 356115133.61144996}>"
64,1.2,100,0.15,28.934938043556183,513197194.785601,0.1718021502756777,-2.5411800015271493,46,284403919.6769693,228793275.1086317,1.477201540611282,"Strategy< 64, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 513197194.785601}>"
66,1.2,102,0.15,29.468823384738755,743018754.20207,0.16870442106021777,-2.567430313567296,48,425579034.9430803,317439719.25898963,1.600918669064797,"Strategy< 66, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 743018754.20207}>"
68,1.2,104,0.15,30.30160437040537,1323402138.9432292,0.1438865617705022,-2.7969962364600187,46,1079115120.6894147,244287018.25381443,1.2998149190326942,"Strategy< 68, (46,46,46,46), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 1323402138.9432292}>"
70,1.2,106,0.15,30.91985574726557,2031440195.8469534,0.14365513849655925,-2.7993184963718387,48,1697182568.1173923,334257627.72956115,1.1934746422991016,"Strategy< 70, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 2031440195.8469534}>"
72,1.2,108,0.15,31.698441675591216,3484831310.6400447,0.13043664107517608,-2.9385788996127564,48,2893876875.5980034,346878724.0824898,0.9299605377699837,"Strategy< 72, (48,48,48,48), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 3484831310.6400447}>"
74,1.2,110,0.15,32.843570042175074,7707255341.104777,0.09782989258436758,-3.353580832022033,52,4354560325.323656,3352695015.7811213,1.1967437387464883,"Strategy< 74, (52,52,52,52), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 7707255341.104777}>"
76,1.2,112,0.15,33.59731339570453,12995682899.755985,0.09955226257897308,-3.3284020845334163,56,2336404188.200672,9121439770.045841,0.8816653997045166,"Strategy< 76, (56,56,56,56), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 12995682899.755985}>"
78,1.2,114,0.15,34.03958226427573,17657747465.834778,0.12979944173848249,-2.9456439165029673,58,3303490564.770391,11750866263.520756,0.8525638311126139,"Strategy< 78, (58,58,58,58), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 17657747465.834778}>"
80,1.2,116,0.15,34.50542751835226,24387579392.80095,0.1463748761977523,-2.7722601443758292,62,5257685741.539278,19129893651.261673,1.4626643469697824,"Strategy< 80, (62,62,62,62), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 24387579392.80095}>"
82,1.2,118,0.15,34.91615956359524,32419876941.47603,0.1820601866316062,-2.457512630173306,60,17055796960.544107,15364079980.931921,1.1797068427180535,"Strategy< 82, (60,60,60,60), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 32419876941.47603}>"
84,1.2,120,0.15,35.391808035721546,45081236505.51364,0.22202540682038102,-2.1712033183278567,62,24913710186.287506,20167526319.22613,1.1836544866152225,"Strategy< 84, (62,62,62,62), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 45081236505.51364}>"
86,1.2,122,0.15,35.886743135147114,63531064224.1702,0.2716174880414169,-1.8803517246626043,64,35770384852.453705,27760679371.716488,1.125431222756539,"Strategy< 86, (64,64,64,64), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 63531064224.1702}>"
88,1.2,124,0.15,36.37245034643961,88960777535.37378,0.3594104376837884,-1.4762957879427314,66,49750929137.15457,39209848398.219215,1.0532290295096713,"Strategy< 88, (66,66,66,66), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 88960777535.37378}>"
90,1.2,126,0.15,36.99809229122498,137257334894.07071,0.43397046945535517,-1.2043312204660208,68,69383817195.12497,58285547029.39777,0.9301460233294813,"Strategy< 90, (68,68,68,68), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 137257334894.07071}>"
92,1.2,128,0.15,37.660026928089934,217168955653.17407,0.5295741477483235,-0.9170953991501577,70,105333639325.69437,89767811817.681,0.8983855475870076,"Strategy< 92, (70,70,70,70), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 217168955653.17407}>"
94,1.2,130,0.15,38.25385970059713,327762466999.67285,0.7490146943458823,-0.4169340727961476,72,173306811093.32022,138955264765.74582,0.9527084620685923,"Strategy< 94, (72,72,72,72), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 327762466999.67285}>"
96,1.2,132,0.15,38.9820809969503,542969798373.67737,0.9681597147960259,-0.04668303009693022,74,289303957736.10925,225601118973.883,0.9483125548644776,"Strategy< 96, (74,74,74,74), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 542969798373.67737}>"
98,1.2,134,0.15,39.66281938427844,870358845173.3643,1.2814225212358978,0.3577462514676451,76,472004213986.63983,389040214186.1503,0.9892981876932395,"Strategy< 98, (76,76,76,76), 1.00-1.00, {'alpha': 1.2, 'c': 0.15, 'total_cost': 870358845173.3643}>"
